date,ret,n,equity
2024-04-09,0.004212652954879684,5,46103.47947922505
2024-04-10,-0.016016334716775424,5,45365.07072027779
2024-04-11,-0.008896129082861911,5,44961.49719529704
2024-04-12,-0.008958416550791756,5,44558.71337467431
2024-04-15,-0.0055762525550625405,5,44310.24273536849
2024-04-16,-0.005205567764346627,5,44079.58276415488
2024-04-17,-0.008416628180362404,5,43708.581305683474
2024-04-18,-0.008099294764906947,5,43354.57262193285
2024-04-19,0.0007088101792613356,5,43385.3027843248
2024-04-22,-0.007172050196073418,5,43074.14121498378
2024-04-23,0.00172840889192151,5,43148.59094367165
2024-04-24,-0.006796999899634301,5,42855.30997535815
2024-04-25,-0.020076972609943552,5,41994.90509079224
2024-04-26,-0.002652153921246033,5,41883.52813858334
2024-04-29,-0.006304241180290812,5,41619.48427571621
2024-04-30,-0.004503156101790492,5,41432.06524114665
2024-05-02,-0.013424752798178483,5,40875.85000736626
2024-05-03,-0.00020521438582790912,5,40867.4616949118
2024-05-06,0.0008336175613321924,5,40901.52952866774
2024-05-07,0.005389302150507094,5,41121.96022971562
2024-05-08,-0.0065601038355124295,5,40852.19590068888
2024-05-10,-0.0031383733706621918,5,40723.986456941086
2024-05-13,-0.00056137413565834,5,40701.12506424326
2024-05-14,0.008000309264279318,5,41026.74665216132
2024-05-15,-0.0042711166277636355,5,40851.51663235223
2024-05-16,-0.0020576458287539035,5,40767.4586795554
2024-05-17,0.003238560276370142,5,40899.48655180356
2024-05-20,-0.001490680197843605,5,40838.51849709881
2024-05-21,-0.002877921930875268,5,40720.98842909156
2024-05-22,-0.000680391557172418,5,40693.28221236469
2024-05-23,-0.00696764063602818,5,40409.74604560846
2024-05-24,-0.004316275441311753,5,40235.32645116215
2024-05-27,-0.001894064139180681,5,40159.11816220278
2024-05-28,-0.011265211806597172,5,39706.7171901394
2024-05-29,-0.008085363093594256,4,39385.67396440247
2024-05-30,0.0031814018758099,5,39510.97562143285
2024-05-31,0.0010614839683088882,5,39552.91588862725
2024-06-03,-0.004665896752640872,5,39368.36606682503
2024-06-04,-0.007013121963370858,5,39092.270914099754
2024-06-05,-0.004383394587878383,5,38920.91406534701
2024-06-07,-0.008453359407685577,5,38591.90159027699
2024-06-10,-0.010750652102500955,5,38177.01348230597
2024-06-11,-0.009942974800835044,5,37797.420399280265
2024-06-12,0.009478973207361855,5,38155.70113455243
2024-06-13,0.0015270449270227506,5,38213.96660440695
2024-06-14,-0.008582702467946754,5,37885.98749892127
2024-06-17,-0.00496313996104659,5,37697.95404040166
2024-06-18,0.0004073721720407134,5,37713.311137820594
2024-06-19,-0.0052296335809688035,5,37516.08433944472
2024-06-20,-0.0027350071434685567,5,37413.47758078137
2024-06-24,0.0036089595121092145,5,37548.50130657762
2024-06-25,-0.007002641899328629,5,37285.562598071185
2024-06-26,-0.0123428054042629,5,36825.354154534725
2024-06-27,-0.003119569322736789,5,36710.474909415316
2024-06-28,-0.009011600482791756,5,36379.65477599812
2024-07-01,-0.001290156972283371,5,36332.7193107396
2024-07-02,-0.0021955115809469596,5,36252.950404725576
2024-07-03,-0.0105427202597114,5,35870.745690019365
2024-07-04,-0.0028789360282708587,5,35767.47610789143
2024-07-05,-0.006785591765839491,5,35524.77261652886
2024-07-08,-0.002535693602203256,5,35434.692677885396
2024-07-09,-0.010602758532872122,5,35058.98718773525
2024-07-10,-0.0009087761186517516,5,35027.12641743492
2024-07-11,0.003096883121551,5,35135.60133403351
2024-07-12,0.020632408445667196,5,35860.533411741424
2024-07-15,-0.010218596932206267,5,35494.08907503293
2024-07-16,-0.002329035895265393,5,35411.422067507425
2024-07-17,-0.005481354006147451,5,35217.31952729432
2024-07-18,-0.0014419900007140855,5,35166.536504684
2024-07-19,-0.006414124407609453,5,34940.97396455822
2024-07-22,-0.0062806650176401605,5,34721.52141169674
2024-07-23,-0.0034084850746035253,5,34603.17362419745
2024-07-24,-0.00017220881975291423,5,34597.214652507915
2024-07-25,0.002466179053347753,5,34682.53757858811
2024-07-26,0.0042797122179658725,5,34830.96885841326
2024-07-29,-0.008285587023355388,5,34542.37383482909
2024-07-30,-0.006328320863986122,5,34323.77860979853
2024-07-31,-0.007826000656664597,5,34055.160695859035
2024-08-01,-0.010763484054571646,5,33688.608516733286
2024-08-02,-0.010004947782468219,5,33351.55574765935
2024-08-05,-0.0033937130518805953,5,33238.370137618
2024-08-06,-0.005082048642668116,3,33069.451123775616
2024-08-07,-0.004551107719126266,5,32918.94848949894
2024-08-08,0.005466493316755675,5,33098.89970141141
2024-08-09,-0.004818371030958754,5,32939.416921933516
2024-08-12,-0.006344855674101532,5,32730.421075574795
2024-08-13,-0.006535548130021338,5,32516.509833319513
2024-08-14,-0.007897537376241045,5,32259.709481565962
2024-08-15,0.00488555120757043,5,32417.315944179503
2024-08-16,-0.008360877389573482,5,32146.278740271155
2024-08-19,-0.0026093207312988106,5,32062.398788720053
2024-08-20,-0.011849431312024636,5,31682.477596574372
2024-08-21,-0.010753545903194337,5,31341.77861941268
2024-08-22,-0.0023109326881758452,5,31269.349878695506
2024-08-23,-0.002001363678763299,5,31206.768537589745
2024-08-26,-0.0031441869198062986,5,31108.64862414443
2024-08-27,-0.008448161470387924,5,30845.837737442096
2024-08-28,-0.0013145980614331107,5,30805.287858949177
2024-08-29,0.002882310262713364,5,30894.078256290864
2024-08-30,-0.005456908181914253,5,30725.492107881408
2024-09-02,-0.009047414040633592,5,30447.505859179186
2024-09-03,-0.011338471279855397,5,30102.27768845165
2024-09-04,-0.010717771840317133,5,29779.64834431296
2024-09-05,-0.006637631910550254,5,29581.98200017778
2024-09-06,-0.011472822561391403,5,29242.593169675467
2024-09-09,-0.006138680335467392,5,29063.08223802671
2024-09-10,-0.016138090624496056,5,28594.059583042254
2024-09-11,-0.010268864088679382,5,28300.43107144039
2024-09-12,-0.004937457056793078,5,28160.698908336424
2024-09-13,0.0005106863792153776,5,28175.080193698097
2024-09-16,-0.005047151712034434,5,28032.87628946177
2024-09-17,-0.0005349620367989104,5,28017.87976486462
2024-09-18,-0.00862780108156703,5,27776.14707152611
2024-09-19,-0.0005000820371878397,5,27762.25671931335
2024-09-20,-0.006064919631693186,5,27593.88086351628
2024-09-23,-0.007730798071502507,5,27380.558142551337
2024-09-24,-0.009107812950889546,5,27131.18114049802
2024-09-25,0.0037462219979390947,5,27232.82056811663
2024-09-26,-0.0018113543905749457,5,27183.492279012833
2024-09-27,-0.0063590565478326725,5,27010.630914443016
2024-09-30,-0.009918602456756428,5,26742.723204296482
2024-10-01,-0.008326808808314098,5,26520.04166116064
2024-10-02,-0.0021322401750341587,5,26463.494562887136
2024-10-03,-0.012031987739796532,5,26145.086120754306
2024-10-04,-0.009968905677321746,5,25884.448223291052
2024-10-07,-0.0012139799020400046,5,25853.025023372582
2024-10-08,-0.0034537935263843607,5,25763.734012909405
2024-10-09,-0.0036566521055943014,5,25669.52500068313
2024-10-10,-0.008037139975068353,4,25463.21543515912
2024-10-11,0.006224753385707796,5,25621.717671650134
2024-10-14,-0.005542055305774593,5,25479.72069528491
2024-10-15,-0.011272554689270273,5,25192.49915027998
2024-10-16,-0.005093564026018646,5,25064.179542882608
2024-10-17,-0.008354937050362086,5,24854.76990058285
2024-10-18,-0.01002076607701866,5,24605.70606551099
2024-10-21,-0.014380347842206062,5,24251.867453385858
2024-10-22,0.0023969890109686227,5,24309.998913167088
2024-10-23,-0.005029112206880434,5,24187.74120088363
2024-10-24,-0.011098302054309447,5,23919.29834302476
2024-10-25,0.0014158129931710758,5,23953.16359640635
2024-10-28,7.332806618919608e-05,5,23954.920035571988
2024-10-29,-0.01181771197558273,5,23671.82769019348
2024-10-30,-0.011183657362802432,5,23407.090080155056
2024-10-31,-0.010556338396290763,5,23159.99691639648
2024-11-01,-0.002636519161984826,5,23098.93514073489
2024-11-04,-0.006234400076432664,5,22954.92713772798
