date,action,spot,cashflow,n_contracts
2015-10-29,COVER_CLOSE,1495.8599853515625,-998.2024530451127,1
2015-10-29,OPEN,1495.8599853515625,365.785177797751,1
2015-11-09,COVER_CLOSE,1511.550048828125,-273.5063206365846,1
2015-11-09,OPEN,1511.550048828125,153.41471806125156,1
2015-11-18,COVER_CLOSE,1514.1800537109375,-270.2343296737082,1
2015-11-18,OPEN,1514.1800537109375,262.69957565908453,1
2015-11-27,COVER_CLOSE,1522.0,-251.06254610674827,1
2015-11-27,OPEN,1522.0,185.51444510310097,1
2015-12-08,ROLL_CALL_SIDE,1454.989990234375,204.3478559392792,1
2015-12-08,COVER_CLOSE,1454.989990234375,-1762.129311355406,1
2015-12-08,OPEN,1454.989990234375,450.4495946227546,1
2015-12-11,ROLL_CALL_SIDE,1401.1400146484375,378.88469147886065,1
2015-12-14,ROLL_CALL_SIDE,1389.260009765625,-45.27276498155953,1
2015-12-15,ROLL_PUT_SIDE,1426.469970703125,-192.35865574618725,1
2015-12-17,COVER_CLOSE,1438.3199462890625,-2238.2210373267126,1
2015-12-17,OPEN,1438.3199462890625,561.0048651035871,1
2015-12-30,COVER_CLOSE,1446.8199462890625,-498.0528119008737,1
2015-12-30,OPEN,1446.8199462890625,608.5879763916755,1
2016-01-04,ROLL_CALL_SIDE,1394.3900146484375,495.52665251447263,1
2016-01-05,ROLL_CALL_SIDE,1387.030029296875,-176.7809717954583,1
2016-01-07,ROLL_CALL_SIDE,1357.1199951171875,146.59376391728637,1
2016-01-07,BUTTERFLY_CLOSE,1357.1199951171875,-3295.9377372930508,1
2016-01-07,OPEN,1357.1199951171875,773.3690136730072,1
2016-01-15,ROLL_CALL_SIDE,1305.239990234375,351.3181379990318,1
2016-01-18,ROLL_CALL_SIDE,1306.02001953125,-237.63904781859253,1
2016-01-18,COVER_CLOSE,1306.02001953125,-1725.702621604915,1
2016-01-18,OPEN,1306.02001953125,693.8011831038787,1
2016-01-22,ROLL_PUT_SIDE,1361.3599853515625,492.2508487063362,1
2016-01-25,ROLL_PUT_SIDE,1354.4100341796875,-416.7212400937856,1
2016-01-26,ROLL_PUT_SIDE,1375.739990234375,27.618939895204562,1
2016-01-27,COVER_CLOSE,1365.5899658203125,-2526.8580803477803,1
2016-01-27,OPEN,1365.5899658203125,1028.0156254331832,1
2016-01-28,ROLL_CALL_SIDE,1333.3199462890625,326.4855348467567,1
2016-01-29,ROLL_PUT_SIDE,1356.3199462890625,-56.051845689944344,1
2016-02-01,ROLL_PUT_SIDE,1342.4300537109375,-583.845471558645,1
2016-02-05,COVER_CLOSE,1330.1099853515625,-1773.750657295934,1
2016-02-05,OPEN,1330.1099853515625,975.2539260496833,1
2016-02-08,ROLL_CALL_SIDE,1273.949951171875,462.5391366438132,1
2016-02-09,ROLL_PUT_SIDE,1271.449951171875,-948.171557090121,1
2016-02-10,ROLL_PUT_SIDE,1297.8199462890625,34.9118012935694,1
2016-02-16,COVER_CLOSE,1328.1400146484375,-2876.9228565175063,1
2016-02-16,OPEN,1328.1400146484375,1395.8660937310942,1
2016-02-17,ROLL_PUT_SIDE,1374.25,360.8458526561768,1
2016-02-18,ROLL_PUT_SIDE,1362.97998046875,-638.2738795950366,1
2016-02-19,ROLL_PUT_SIDE,1355.949951171875,-521.9182168382315,1
2016-02-25,COVER_CLOSE,1360.969970703125,-2239.4858841263062,1
2016-02-25,OPEN,1360.969970703125,1425.387986925017,1
2016-02-26,ROLL_PUT_SIDE,1370.800048828125,31.548670597768933,1
2016-02-29,ROLL_PUT_SIDE,1372.5400390625,-427.5657292067417,1
2016-03-01,ROLL_PUT_SIDE,1391.449951171875,-153.74240620174976,1
2016-03-07,COVER_CLOSE,1397.0400390625,-1967.2632432304388,1
2016-03-07,OPEN,1397.0400390625,1226.6168915996918,1
2016-03-16,COVER_CLOSE,1393.0999755859375,-465.4557571511004,1
2016-03-16,OPEN,1393.0999755859375,588.3486987082102,1
2016-03-29,COVER_CLOSE,1348.699951171875,-573.6694983975117,1
2016-03-29,OPEN,1348.699951171875,125.4036720519864,1
2016-04-07,COVER_CLOSE,1330.8399658203125,-368.7899873251775,1
2016-04-07,OPEN,1330.8399658203125,336.1555053439886,1
2016-04-08,ROLL_PUT_SIDE,1364.93994140625,348.2086679568142,1
2016-04-11,ROLL_PUT_SIDE,1368.6199951171875,-180.31405802753466,1
2016-04-13,ROLL_PUT_SIDE,1392.5899658203125,76.12186679696987,1
2016-04-18,COVER_CLOSE,1381.8900146484375,-1568.1106038483526,1
2016-04-18,OPEN,1381.8900146484375,398.3971559444375,1
2016-04-20,ROLL_PUT_SIDE,1419.6700439453125,344.45805488645243,1
2016-04-22,ROLL_CALL_SIDE,1396.3699951171875,-47.43197899023875,1
2016-04-25,ROLL_CALL_SIDE,1389.5699462890625,-111.69936450812173,1
2016-04-27,COVER_CLOSE,1386.780029296875,-1459.4340405412356,1
2016-04-27,OPEN,1386.780029296875,321.3316640703748,1
2016-05-03,ROLL_CALL_SIDE,1335.3900146484375,268.46218746926434,1
2016-05-04,ROLL_CALL_SIDE,1319.1700439453125,7.40736222856998,1
2016-05-06,ROLL_CALL_SIDE,1309.1700439453125,-62.433811282273524,1
2016-05-09,COVER_CLOSE,1328.199951171875,-1608.317645845084,1
2016-05-09,OPEN,1328.199951171875,179.0585250601036,1
2016-05-18,COVER_CLOSE,1340.9300537109375,-217.3225432596824,1
2016-05-18,OPEN,1340.9300537109375,28.55524614534059,1
2016-05-27,COVER_CLOSE,1376.5,-569.969543976312,1
2016-05-27,OPEN,1376.5,216.77688560413196,1
2016-06-08,COVER_CLOSE,1361.489990234375,-215.84189195991735,1
2016-06-08,OPEN,1361.489990234375,56.27343766543018,1
2016-06-10,ROLL_CALL_SIDE,1315.06005859375,248.74521005099626,1
2016-06-13,ROLL_CALL_SIDE,1294.510009765625,51.59016160398053,1
2016-06-14,ROLL_CALL_SIDE,1273.969970703125,47.562633152167905,1
2016-06-14,BUTTERFLY_CLOSE,1273.969970703125,-2727.219913855958,1
2016-06-14,OPEN,1273.969970703125,239.19485429389619,1
2016-06-20,ROLL_PUT_SIDE,1340.2900390625,392.0423233188743,1
2016-06-21,ROLL_PUT_SIDE,1344.5899658203125,-166.22627871934753,1
2016-06-22,ROLL_PUT_SIDE,1354.5999755859375,-75.82062079115849,1
2016-06-22,BUTTERFLY_CLOSE,1354.5999755859375,-2711.311672775028,1
2016-06-22,OPEN,1354.5999755859375,654.3713696247419,1
2016-06-27,ROLL_CALL_SIDE,1246.0999755859375,668.6966792012421,1
2016-06-27,BUTTERFLY_CLOSE,1246.0999755859375,-4254.204043617719,1
2016-06-27,OPEN,1246.0999755859375,1305.4525611854087,1
2016-06-28,ROLL_PUT_SIDE,1278.52001953125,209.92344869713088,1
2016-06-29,ROLL_PUT_SIDE,1309.5699462890625,-89.34066515714085,1
2016-06-30,ROLL_PUT_SIDE,1323.5799560546875,-284.2088731039112,1
2016-06-30,BUTTERFLY_CLOSE,1323.5799560546875,-3573.789003907479,1
2016-06-30,OPEN,1323.5799560546875,1479.861524907215,1
2016-07-01,ROLL_PUT_SIDE,1340.260009765625,29.8528072255707,1
2016-07-04,ROLL_PUT_SIDE,1325.5400390625,-728.7485864718085,1
2016-07-05,ROLL_CALL_SIDE,1303.010009765625,56.57833774093126,1
2016-07-11,COVER_CLOSE,1350.0899658203125,-2928.057213108751,1
2016-07-11,OPEN,1350.0899658203125,1534.5363094030458,1
2016-07-12,ROLL_PUT_SIDE,1354.510009765625,-108.7934807777317,1
2016-07-13,ROLL_PUT_SIDE,1356.3499755859375,-478.26826917389826,1
2016-07-14,ROLL_PUT_SIDE,1364.9200439453125,-345.88194067386326,1
2016-07-20,COVER_CLOSE,1386.5899658203125,-2089.8109536861502,1
2016-07-20,OPEN,1386.5899658203125,1456.4066955631342,1
2016-07-29,COVER_CLOSE,1386.6600341796875,-206.53984018168336,1
2016-07-29,OPEN,1386.6600341796875,90.85923472399463,1
2016-08-09,COVER_CLOSE,1411.3499755859375,-220.58417524465926,1
2016-08-09,OPEN,1411.3499755859375,-76.83063670046772,1
2016-08-18,COVER_CLOSE,1403.02001953125,-179.26764682529543,1
2016-08-18,OPEN,1403.02001953125,-19.61740250319437,1
2016-08-29,COVER_CLOSE,1411.97998046875,-196.03183463088035,1
2016-08-29,OPEN,1411.97998046875,8.815220315931441,1
2016-09-07,COVER_CLOSE,1441.52001953125,-211.82583607003778,1
2016-09-07,OPEN,1441.52001953125,-119.13393794225432,1
2016-09-16,COVER_CLOSE,1405.31005859375,-196.52129773254387,1
2016-09-16,OPEN,1405.31005859375,-140.06983853190997,1
2016-09-27,COVER_CLOSE,1421.199951171875,-187.10801979475846,1
2016-09-27,OPEN,1421.199951171875,-74.20411570907198,1
2016-10-06,COVER_CLOSE,1458.3800048828125,-306.49881703909847,1
2016-10-06,OPEN,1458.3800048828125,-86.89194863887812,1
2016-10-17,COVER_CLOSE,1438.280029296875,-201.21742009222226,1
2016-10-17,OPEN,1438.280029296875,-21.610127414494627,1
2016-10-26,COVER_CLOSE,1454.2099609375,-186.8662380155095,1
2016-10-26,OPEN,1454.2099609375,-72.28993217918175,1
2016-11-04,COVER_CLOSE,1406.0999755859375,-463.34113131628993,1
2016-11-04,OPEN,1406.0999755859375,-29.070204668277597,1
2016-11-09,ROLL_PUT_SIDE,1456.7099609375,87.87254944162751,1
2016-11-10,ROLL_PUT_SIDE,1460.52001953125,-139.01404607934467,1
2016-11-15,ROLL_PUT_SIDE,1466.4599609375,-131.63676332528627,1
2016-11-15,COVER_CLOSE,1466.4599609375,-1070.9778352657477,1
2016-11-15,OPEN,1466.4599609375,1.3741212142068093,1
2016-11-24,COVER_CLOSE,1484.3299560546875,-224.9183176666681,1
2016-11-24,OPEN,1484.3299560546875,11.25654054324201,1
2016-12-05,COVER_CLOSE,1483.2900390625,-165.4230420993845,1
2016-12-05,OPEN,1483.2900390625,-86.06771693137517,1
2016-12-13,ROLL_PUT_SIDE,1551.0,-124.66129396881949,1
2016-12-14,COVER_CLOSE,1541.3900146484375,-653.9291820668241,1
2016-12-14,OPEN,1541.3900146484375,-124.90848492706212,1
2016-12-23,COVER_CLOSE,1525.800048828125,-168.27455366440603,1
2016-12-23,OPEN,1525.800048828125,-101.40865647487458,1
2017-01-04,COVER_CLOSE,1530.9300537109375,-160.79716556357678,1
2017-01-04,OPEN,1530.9300537109375,-142.89402752776112,1
2017-01-16,COVER_CLOSE,1512.969970703125,-161.16774701560166,1
2017-01-16,OPEN,1512.969970703125,-150.13600829507155,1
2017-01-25,COVER_CLOSE,1545.989990234375,-279.8640670396405,1
2017-01-25,OPEN,1545.989990234375,-53.155017907301456,1
2017-02-03,COVER_CLOSE,1557.31005859375,-186.26613270416507,1
2017-02-03,OPEN,1557.31005859375,-31.8150047396569,1
2017-02-14,COVER_CLOSE,1569.75,-172.0073566540683,1
2017-02-14,OPEN,1569.75,-94.28126044405309,1
2017-02-23,COVER_CLOSE,1588.300048828125,-161.1127854290387,1
2017-02-23,OPEN,1588.300048828125,-155.72020494262273,1
2017-03-06,COVER_CLOSE,1575.52001953125,-160.8268237049216,1
2017-03-06,OPEN,1575.52001953125,-144.93078225160576,1
2017-03-15,COVER_CLOSE,1588.8900146484375,-162.01407218632926,1
2017-03-15,OPEN,1588.8900146484375,-145.3483159767882,1
2017-03-24,COVER_CLOSE,1579.699951171875,-160.38535598681497,1
2017-03-24,OPEN,1579.699951171875,-147.22436157617048,1
2017-04-04,COVER_CLOSE,1567.300048828125,-160.14457181036713,1
2017-04-04,OPEN,1567.300048828125,-155.28534950067558,1
2017-04-13,COVER_CLOSE,1572.81005859375,-160.08587198215218,1
2017-04-13,OPEN,1572.81005859375,-156.10104183091966,1
2017-04-26,COVER_CLOSE,1620.280029296875,-354.6267880804494,1
2017-04-26,OPEN,1620.280029296875,-110.76402405022554,1
2017-05-08,COVER_CLOSE,1639.489990234375,-167.1796764404073,1
2017-05-08,OPEN,1639.489990234375,-136.11300632127183,1
2017-05-17,COVER_CLOSE,1628.3699951171875,-165.47957976925122,1
2017-05-17,OPEN,1628.3699951171875,-96.79617920204423,1
2017-05-29,COVER_CLOSE,1631.9100341796875,-160.606707336387,1
2017-05-29,OPEN,1631.9100341796875,-142.84359197721443,1
2017-06-08,COVER_CLOSE,1643.77001953125,-160.81578507663414,1
2017-06-08,OPEN,1643.77001953125,-150.86255030410956,1
2017-06-19,COVER_CLOSE,1653.4000244140625,-161.3346743121934,1
2017-06-19,OPEN,1653.4000244140625,-142.9164623313939,1
2017-06-29,COVER_CLOSE,1613.219970703125,-201.22936482929015,1
2017-06-29,OPEN,1613.219970703125,-132.90590195194926,1
2017-07-10,COVER_CLOSE,1624.81005859375,-172.48409850783574,1
2017-07-10,OPEN,1624.81005859375,-85.09281944920893,1
2017-07-19,COVER_CLOSE,1609.9599609375,-190.1791291697989,1
2017-07-19,OPEN,1609.9599609375,4.911691440440535,1
2017-07-28,COVER_CLOSE,1557.56005859375,-536.1823946953122,1
2017-07-28,OPEN,1557.56005859375,36.66677176622284,1
2017-08-08,COVER_CLOSE,1581.3199462890625,-259.5429336071642,1
2017-08-08,OPEN,1581.3199462890625,31.571521925559153,1
2017-08-17,COVER_CLOSE,1540.0899658203125,-283.619711641613,1
2017-08-17,OPEN,1540.0899658203125,-67.67218619770773,1
2017-08-28,COVER_CLOSE,1536.8800048828125,-164.90674489172514,1
2017-08-28,OPEN,1536.8800048828125,-88.39153570001224,1
2017-09-06,COVER_CLOSE,1541.27001953125,-168.91419819271945,1
2017-09-06,OPEN,1541.27001953125,-73.65238681620534,1
2017-09-15,COVER_CLOSE,1578.8699951171875,-247.81786844503728,1
2017-09-15,OPEN,1578.8699951171875,-117.44956325503026,1
2017-09-26,COVER_CLOSE,1610.760009765625,-168.6927929993619,1
2017-09-26,OPEN,1610.760009765625,-155.8497002276394,1
2017-10-05,COVER_CLOSE,1653.1500244140625,-166.86093487867532,1
2017-10-05,OPEN,1653.1500244140625,-159.78497146649332,1
2017-10-16,COVER_CLOSE,1638.3299560546875,-160.0000667885591,1
2017-10-16,OPEN,1638.3299560546875,-159.98161852885096,1
2017-10-25,COVER_CLOSE,1649.739990234375,-160.0355752587366,1
2017-10-25,OPEN,1649.739990234375,-159.07737726688228,1
2017-11-03,COVER_CLOSE,1677.6500244140625,-160.66713584397405,1
2017-11-03,OPEN,1677.6500244140625,-159.48643939549564,1
2017-11-14,COVER_CLOSE,1628.47998046875,-206.40295992243708,1
2017-11-14,OPEN,1628.47998046875,-152.0454630516406,1
2017-11-23,COVER_CLOSE,1612.5699462890625,-160.75600863111296,1
2017-11-23,OPEN,1612.5699462890625,-149.4850061643942,1
2017-12-04,COVER_CLOSE,1616.800048828125,-165.80125441283414,1
2017-12-04,OPEN,1616.800048828125,-92.03996405078492,1
2017-12-13,COVER_CLOSE,1619.8199462890625,-167.95321883619275,1
2017-12-13,OPEN,1619.8199462890625,-72.92145620548634,1
2017-12-22,COVER_CLOSE,1606.25,-179.1656329989848,1
2017-12-22,OPEN,1606.25,-32.603742296071516,1
2018-01-05,COVER_CLOSE,1611.31005859375,-167.98377132640294,1
2018-01-05,OPEN,1611.31005859375,-79.95292114104,1
2018-01-16,COVER_CLOSE,1623.3299560546875,-166.81485720225538,1
2018-01-16,OPEN,1623.3299560546875,-114.4804189716305,1
