date,equity,cash
2019-01-16,497742.4862961163,511889.1708745442
2019-01-17,498967.46267964144,507319.6916615808
2019-01-18,500296.7280409981,507319.6916615808
2019-01-21,501937.48244549177,509023.05837969994
2019-01-22,505848.0597344873,509560.9097081462
2019-01-23,504501.665835068,513256.9790744858
2019-01-24,505667.99933585856,514559.4021869987
2019-01-25,504832.6455627969,517416.22842940676
2019-01-28,500702.75129621796,500702.75129621796
2019-01-29,500702.75129621796,500702.75129621796
2019-01-30,500702.75129621796,500702.75129621796
2019-01-31,500414.69244443276,509220.57762295473
2019-02-01,500541.23727737885,510327.9733459404
2019-02-04,503701.47617707023,510327.9733459404
2019-02-05,504116.4775313541,512683.3434814717
2019-02-06,498727.06612595473,498727.06612595473
2019-02-07,498437.9533148561,507349.2344247207
2019-02-08,494424.3359331394,512772.2923184606
2019-02-11,497054.25359394756,518946.1238975426
2019-02-12,499134.53398442734,499134.53398442734
2019-02-14,498846.8113934218,507619.0704939794
2019-02-15,499588.1791842498,507619.0704939794
2019-02-18,498972.5788706436,513028.1775101208
2019-02-19,500136.041220301,514700.27183425595
2019-02-20,495321.7012048937,495321.7012048937
2019-02-21,495028.96086023236,504302.99532636907
2019-02-22,496110.84508614824,504302.99532636907
2019-02-25,497610.3274127149,507538.19233037566
2019-02-26,499664.571352062,508601.667642875
2019-02-27,500218.0984614441,509709.26231904526
2019-02-28,500631.34752335836,508824.81243141857
2019-03-01,503183.5791643093,510454.7091005418
2019-03-05,502155.97085742326,516372.15734351723
2019-03-06,501063.70793174545,501063.70793174545
2019-03-07,500774.9573398145,509650.01653290464
2019-03-08,503287.5759074783,509650.01653290464
2019-03-11,502731.2377767316,512656.9501996773
2019-03-12,498619.3425348565,498619.3425348565
2019-03-13,498619.3425348565,498619.3425348565
2019-03-14,498357.6047430788,504531.3839208508
2019-03-15,498804.2278167222,507172.77547890495
2019-03-18,501300.87134663714,507172.77547890495
2019-03-19,501121.13886252005,501121.13886252005
2019-03-20,501121.13886252005,501121.13886252005
2019-03-22,501121.13886252005,501121.13886252005
2019-03-25,501121.13886252005,501121.13886252005
2019-03-26,501121.13886252005,501121.13886252005
2019-03-27,501121.13886252005,501121.13886252005
2019-03-28,500870.5311104621,505931.30631625553
2019-04-01,502023.54314471036,507535.83661524794
2019-04-02,502303.18584130914,509309.3798665555
2019-04-03,501348.18759532564,511761.78790654975
2019-04-04,501111.3790127897,507567.7193757159
2019-04-05,500834.9268620095,509285.1296739209
2019-04-08,502231.1921220373,510116.8910548867
2019-04-09,502805.9186466694,511112.9213290792
2019-04-10,502654.8143876423,513436.58860856306
2019-04-11,504746.05230938754,510523.275696008
2019-04-12,504768.48256097734,511175.06750890537
2019-04-15,506048.45339671156,512747.6204432647
2019-04-16,504085.65843500796,504085.65843500796
2019-04-18,503821.1752843478,510269.4903503642
2019-04-22,501605.0038024121,516285.1930033222
2019-04-23,502756.6323732193,516285.1930033222
2019-04-24,499081.0053384416,499081.0053384416
2019-04-25,498821.8126353823,504741.08294131345
2019-04-26,498732.01594963775,507052.41831060825
2019-04-30,502385.4011957436,507052.41831060825
2019-05-02,503942.7177741448,509588.91397768573
2019-05-03,505117.07977447996,509588.91397768573
2019-05-06,503843.823923486,512387.6295574666
2019-05-07,500986.7964262307,500986.7964262307
2019-05-08,500986.7964262307,500986.7964262307
2019-05-09,500724.70580568066,506933.7678606799
2019-05-10,501546.081823084,506933.7678606799
2019-05-13,500701.1799770025,509949.115680585
2019-05-14,501189.7329732191,509949.115680585
2019-05-15,502529.06110784103,509949.115680585
2019-05-16,501354.7901807954,507895.68798263365
2019-05-17,498162.25974054716,513098.2276051674
2019-05-20,468896.0784237546,513098.2276051674
2019-05-21,480324.3787528906,513098.2276051674
2019-05-22,481050.84232142824,513098.2276051674
2019-05-23,488240.94776438904,494499.9921167926
2019-05-24,486494.82406893483,498019.19770246814
2019-05-27,489464.6495533823,500234.4979473302
2019-05-28,491392.0327852737,500234.4979473302
2019-05-29,492725.1579977876,500234.4979473302
2019-05-30,493455.7425491998,499228.1307522797
2019-05-31,494239.40233189584,499228.1307522797
2019-06-03,495476.2415900469,500484.6097149779
2019-06-04,496618.17853321595,500484.6097149779
2019-06-06,495233.6355990565,501064.16339795274
2019-06-07,496227.58826294634,501064.16339795274
2019-06-10,498061.7731854273,501566.95454395824
2019-06-11,499015.8590168075,501659.69528074237
2019-06-12,499570.29457137187,501659.69528074237
2019-06-13,499845.87020277994,505682.030717125
2019-06-14,499849.1815241552,506484.3685065902
2019-06-17,500258.0466337729,509891.59223620204
2019-06-18,507733.3727074387,509891.59223620204
2019-06-19,508551.6081568277,509891.59223620204
2019-06-20,506933.96702249645,512744.25468663045
2019-06-21,506122.558470299,515435.59434390615
2019-06-24,510505.0070833296,515907.025118234
2019-06-25,510400.01234664087,517344.5916760591
2019-06-26,510410.0484797338,519248.5057519094
2019-06-27,511517.8862699707,517424.66348665714
2019-06-28,512320.4274137635,517424.66348665714
2019-07-01,514153.5718908161,517424.66348665714
2019-07-02,515189.28984666045,518037.48656898737
2019-07-03,515906.1458402723,518037.48656898737
2019-07-04,516460.9712433306,522068.87808561337
2019-07-05,513062.64577744465,527409.2961168579
2019-07-08,498731.39513534,527409.2961168579
2019-07-09,499544.91143336135,527409.2961168579
2019-07-10,494436.0591459938,527409.2961168579
2019-07-11,502645.21148594667,508552.2767530827
2019-07-12,503673.00227003155,508552.2767530827
2019-07-15,506229.74264350237,508552.2767530827
2019-07-16,505787.0066861716,509648.92417902197
2019-07-17,506409.8527079661,509648.92417902197
2019-07-18,506697.80484202853,512556.9607909744
2019-07-19,501988.57876745943,518738.0781030459
2019-07-22,502983.4443802582,502983.4443802582
2019-07-23,502983.4443802582,502983.4443802582
2019-07-24,502983.4443802582,502983.4443802582
2019-07-25,502728.2706097335,508245.64766221185
2019-07-26,503169.93945228733,508245.64766221185
2019-07-29,504544.2839710155,509733.3634746327
2019-07-30,503466.1138262611,512775.64181431243
2019-07-31,504450.13062295393,512775.64181431243
2019-08-01,501202.20472230366,510537.47612442495
2019-08-02,502582.9862196907,510537.47612442495
2019-08-05,504839.2237734257,513989.7744373825
2019-08-06,503026.3506439097,517369.3189436686
2019-08-07,501830.4375286437,501830.4375286437
2019-08-08,501550.26261096355,509567.75437898125
2019-08-09,500657.3188893703,511766.76285501756
2019-08-13,498964.8474650108,518800.61642948416
2019-08-14,498720.7178038708,523722.45846870576
2019-08-16,503699.10647162644,503699.10647162644
2019-08-19,503699.10647162644,503699.10647162644
2019-08-20,503699.10647162644,503699.10647162644
2019-08-21,503699.10647162644,503699.10647162644
2019-08-22,503415.598406823,511766.4048871683
2019-08-23,502230.6063005651,515155.6747588233
2019-08-26,493073.73017704464,528849.292363179
2019-08-27,494642.6814738378,528849.292363179
2019-08-28,499639.4370259117,528849.292363179
2019-08-29,499866.3595343496,508920.2569706143
2019-08-30,499656.9455546778,511914.23050018115
2019-09-03,498055.5243067973,520210.73722702055
2019-09-04,500678.97894994635,520210.73722702055
2019-09-05,504043.860960055,513057.9105592591
2019-09-06,504032.2200985825,515938.1012007079
2019-09-09,508072.9178369383,517806.6077081085
2019-09-11,512418.38820209313,517806.6077081085
2019-09-12,513448.6674224287,521594.77317345707
2019-09-13,514911.38445153355,523897.5652691381
2019-09-16,517997.5019810427,525225.068016904
2019-09-17,511765.3650323995,534954.0818003102
2019-09-18,514320.41653606185,534954.0818003102
2019-09-19,510838.5270543522,520513.9894049357
2019-09-20,457887.5199825731,520513.9894049357
2019-09-23,417705.4370836004,520513.9894049357
2019-09-24,422212.09150290233,520513.9894049357
2019-09-25,449012.30969492305,520513.9894049357
2019-09-26,429020.6830544177,435193.5341129145
2019-09-27,429900.48527851765,435193.5341129145
2019-09-30,432151.59898002475,435666.71420141927
2019-10-01,432037.0062162719,436762.32939239056
2019-10-03,433872.7772901498,439776.12717038597
2019-10-04,433569.6266692377,441207.59384490165
2019-10-07,436258.6955733949,442196.3071460368
2019-10-09,436954.15477935504,444284.60346962785
2019-10-10,437865.1535047397,443819.94648446457
2019-10-11,438592.2790007808,443819.94648446457
2019-10-14,440777.5191223696,444165.95228607004
2019-10-15,441040.7072710932,444796.0999899107
2019-10-16,441975.18357516686,444796.0999899107
2019-10-17,441708.6360005785,447807.5601977691
2019-10-18,442353.7852160748,447807.5601977691
2019-10-22,445958.1296924751,447807.5601977691
2019-10-23,447758.39405273617,447807.5601977691
2019-10-24,447347.5389785671,453286.5853660589
2019-10-25,448070.130972928,453286.5853660589
2019-10-29,446357.5497039614,458612.5334637368
2019-10-30,447659.8799216171,461503.5014796576
2019-10-31,448766.49959024996,454903.1571812349
2019-11-01,449638.64344011527,454903.1571812349
2019-11-04,451882.36527848104,455616.468164198
2019-11-05,452727.71188551973,455616.468164198
2019-11-06,454050.8796521648,455728.8908511861
2019-11-07,453822.0271818649,459152.88672289817
2019-11-08,453237.79276203,462216.4161665753
2019-11-11,456875.4550351802,462216.4161665753
2019-11-13,456080.2677180372,464964.3338202659
2019-11-14,456727.7562573168,463188.56705826044
2019-11-15,457670.29223582696,463188.56705826044
2019-11-18,459574.86746648676,463188.56705826044
2019-11-19,460029.58805895725,464259.2435180345
2019-11-20,459813.6494932946,465724.20129838376
2019-11-21,460777.7616744777,467616.38066939375
2019-11-22,460047.5249195956,469988.77697315306
2019-11-25,455311.0358017379,455311.0358017379
2019-11-26,455311.0358017379,455311.0358017379
2019-11-27,455311.0358017379,455311.0358017379
2019-11-28,455050.1187483254,461141.82408957893
2019-11-29,451544.2997790943,451544.2997790943
2019-12-02,451544.2997790943,451544.2997790943
2019-12-03,451544.2997790943,451544.2997790943
2019-12-04,451544.2997790943,451544.2997790943
2019-12-05,451295.3140071626,456193.8912003376
2019-12-06,449622.8456565591,458644.23917448067
2019-12-09,453121.285968611,458644.23917448067
2019-12-10,450851.9437836695,450851.9437836695
2019-12-11,450851.9437836695,450851.9437836695
2019-12-12,450600.43284434907,455751.5267763919
2019-12-13,447824.5282308489,459819.5643661525
2019-12-16,450512.7411283236,459819.5643661525
2019-12-17,448550.9726578163,448550.9726578163
2019-12-18,448550.9726578163,448550.9726578163
2019-12-19,448298.8739296518,453508.74674610526
2019-12-20,449272.98048897897,453508.74674610526
2019-12-23,451952.55997358955,453508.74674610526
2019-12-24,451716.1568624325,454000.42570631293
2019-12-26,450385.6231677169,455692.7998042218
2019-12-27,447304.2620095488,459561.89009909023
2019-12-30,451289.21136138286,459561.89009909023
2019-12-31,450157.03584462503,450157.03584462503
2020-01-01,450157.03584462503,450157.03584462503
2020-01-02,449901.3819579001,455466.77063038864
2020-01-03,449470.3246744964,457029.29975124047
2020-01-06,438052.0215710911,457029.29975124047
2020-01-07,442126.11904284725,442126.11904284725
2020-01-08,442126.11904284725,442126.11904284725
2020-01-09,441864.6648143165,448010.08766739134
2020-01-10,442507.0164824663,448010.08766739134
2020-01-13,443831.03533226356,450221.44065696653
2020-01-14,444727.7405891174,450221.44065696653
2020-01-15,446227.7337035901,450221.44065696653
2020-01-16,446638.36155168974,452566.68703604623
2020-01-17,447413.3298400455,452566.68703604623
2020-01-20,447199.08444456774,454819.51912408235
2020-01-21,447074.01235294837,457883.46765832073
2020-01-22,447194.1583116115,460419.2269814373
2020-01-23,447989.089322349,453820.6172618276
2020-01-24,448344.97639716754,455894.8095720763
2020-01-27,448043.9555083733,458989.87866661354
2020-01-28,447989.0765098195,462737.1483646619
2020-01-29,448708.53169662534,462737.1483646619
2020-01-30,450113.09182647866,456926.74162956176
2020-01-31,449982.10140582273,458260.0025158029
2020-02-03,441986.8235807724,441986.8235807724
2020-02-04,441986.8235807724,441986.8235807724
2020-02-05,441986.8235807724,441986.8235807724
2020-02-06,441731.65685094724,447248.3298334667
2020-02-07,442448.7947311305,447248.3298334667
2020-02-10,443790.8481108601,448695.45047547674
2020-02-11,443917.1495291088,449840.8418647116
2020-02-12,443397.02080317895,451971.5735461499
2020-02-13,444433.07393684273,450540.8087673044
2020-02-14,444595.3976393771,451548.03889219515
2020-02-17,446760.2587351848,452933.9486551426
2020-02-18,447062.6088226382,454033.0021550081
2020-02-19,446399.9804982756,456559.4576535935
2020-02-20,447671.58458313474,453779.37882252794
2020-02-24,444726.30424437067,460118.37821248657
2020-02-25,446804.10866425215,460118.37821248657
2020-02-26,444340.92836537655,468139.5652757282
2020-02-27,445247.3674955782,450677.427243459
2020-02-28,428216.05471308687,466112.8906770813
2020-03-02,432628.53171513684,432628.53171513684
2020-03-03,432628.53171513684,432628.53171513684
2020-03-04,432628.53171513684,432628.53171513684
2020-03-05,432368.59978415194,438361.792882646
2020-03-06,427422.8404004296,445241.0303329043
2020-03-09,393697.9224079958,445241.0303329043
2020-03-11,397212.16918165906,445241.0303329043
2020-03-12,277398.8653112945,280430.8229077818
2020-03-13,274763.77317324537,283233.6983174203
2020-03-16,264937.1268380903,295696.1334342958
2020-03-17,263510.50268997933,263510.50268997933
2020-03-18,263510.50268997933,263510.50268997933
2020-03-19,263248.80237992003,269418.83338585164
2020-03-20,255186.3414933207,278182.0452626461
2020-03-23,207713.1031296384,207713.1031296384
2020-03-24,207713.1031296384,207713.1031296384
2020-03-25,207713.1031296384,207713.1031296384
2020-03-26,207482.40456527355,210552.2610017591
2020-03-27,208047.7616263134,210552.2610017591
2020-03-30,208906.28438814622,211127.97508571474
2020-03-31,208716.98798731514,211636.3786112535
2020-04-01,209071.13286530212,212321.81065037524
2020-04-03,210217.7024258023,210217.7024258023
2020-04-07,210217.7024258023,210217.7024258023
2020-04-08,210217.7024258023,210217.7024258023
2020-04-09,209987.3279202668,213024.7784738149
2020-04-13,212007.82710891875,213024.7784738149
2020-04-15,212543.97339084122,212936.59266993342
2020-04-16,212320.93236337564,215327.06577588827
2020-04-17,213133.4033647781,215607.01543951704
2020-04-20,214628.9156550744,215607.01543951704
2020-04-21,214807.6892151288,215618.4356841603
2020-04-22,214887.3021178966,215530.3420552863
2020-04-23,214580.81203954841,217533.4426752906
2020-04-24,217114.85235313766,217414.56983091315
2020-04-27,217333.7273034046,217414.56983091315
2020-04-28,217194.80870098982,217223.35564412663
2020-04-29,217009.5594493182,217030.632571889
2020-04-30,216370.7212901143,219407.9998256323
2020-05-04,215747.30968667826,221597.86492837552
2020-05-05,216820.00579769735,222482.22229544102
2020-05-06,218934.2014526271,222482.22229544102
2020-05-07,219563.7223023276,222639.64168145845
2020-05-08,222050.36527744652,222639.64168145845
2020-05-11,222433.9001544002,222639.64168145845
2020-05-12,222581.10004875553,222639.64168145845
2020-05-13,222390.73713526202,222462.7338319119
2020-05-14,221726.35076349895,224863.17924174335
2020-05-15,222238.8235014428,224863.17924174335
2020-05-18,222073.71017818552,226299.49720502886
2020-05-19,222804.28358843134,226299.49720502886
2020-05-20,222769.99555655333,227690.2030356686
