strategy,ticker,entry_date,entry_px,exit_date,exit_px,hold_days,ret,entry_val,reason
A,LIFCO-B.ST,2023-02-27,205.81,2023-04-12,220.35,44,0.07065480071007113,0.6942949018507413,6wk-exit
A,HUSQ-B.ST,2023-03-20,76.11,2023-04-12,80.64,23,0.05952108620516472,0.673165819359318,rotate
A,SKF-B.ST,2023-03-20,169.07,2023-05-04,166.91,45,-0.012803059839426978,0.7047328219782114,6wk-exit
A,ADDT-B.ST,2023-04-12,187.82,2023-05-04,203.8,22,0.0850953152313374,0.7660389500997186,rotate
A,GETI-B.ST,2023-04-12,236.31,2023-05-04,235.42,22,-0.003739766830871738,0.7660389500997186,rotate
A,TREL-B.ST,2023-04-12,261.01,2023-05-04,240.2,22,-0.07973043015958892,0.7660389500997186,rotate
A,ALFA.ST,2023-04-12,344.83,2023-05-04,359.99,22,0.043959504177870645,0.7660389500997186,rotate
A,TEL2-B.ST,2023-04-12,85.32,2023-05-26,85.5,44,0.0021406637586760535,0.7660389500997186,6wk-exit
A,SAAB-B.ST,2023-05-04,145.78,2023-05-26,145.29,22,-0.0033853484947430346,0.7586894301686087,rotate
A,EVO.ST,2023-05-04,1281.86,2023-05-26,1405.47,22,0.09643404710798431,0.7586894301686087,rotate
A,ESSITY-B.ST,2023-05-04,283.18,2023-05-26,269.75,22,-0.047435791602715605,0.7452085317279062,rotate
A,HM-B.ST,2023-05-04,126.15,2023-06-19,134.04,46,0.06251315372501387,0.7586894301686087,6wk-exit
A,LIFCO-B.ST,2023-05-04,230.46,2023-06-19,222.16,46,-0.03603222447888477,0.7586894301686087,6wk-exit
A,ALFA.ST,2023-05-26,373.54,2023-06-19,363.31,24,-0.02738338039740351,0.7580834678563105,rotate
A,ELUX-B.ST,2023-05-26,157.05,2023-07-11,150.0,46,-0.04489018092813657,0.7580834678563105,6wk-exit
A,ATCO-B.ST,2023-05-26,129.78,2023-07-11,121.43,46,-0.06432964783754413,0.7580834678563106,6wk-exit
A,ATCO-A.ST,2023-05-26,152.13,2023-07-11,140.7,46,-0.07515526012797946,0.7580834678563108,6wk-exit
A,EVO.ST,2023-06-19,1387.59,2023-07-11,1320.02,22,-0.0486967309539067,0.7430414046017864,rotate
A,ADDT-B.ST,2023-06-19,223.95,2023-08-01,188.02,43,-0.16046710182911716,0.7430414046017862,6wk-exit
A,ABB.ST,2023-06-19,420.74,2023-08-01,414.87,43,-0.013957932105768012,0.7430414046017862,6wk-exit
A,SSAB-A.ST,2023-07-11,65.06,2023-08-01,56.71,21,-0.12831387678758843,0.7164645927517289,rotate
A,VOLV-B.ST,2023-07-11,188.03,2023-08-01,195.76,21,0.04109275448713534,0.7164645927517289,rotate
A,HEXA-B.ST,2023-07-11,121.17,2023-08-01,100.4,21,-0.17139340358554767,0.7164645927517289,rotate
A,HUSQ-B.ST,2023-07-11,87.21,2023-08-22,83.89,42,-0.037966955814228154,0.7164645927517288,6wk-exit
A,ASSA-B.ST,2023-08-01,239.88,2023-08-22,229.84,21,-0.04184773053472779,0.6820064726386375,rotate
A,CAST.ST,2023-08-01,115.59,2023-08-22,108.74,21,-0.059221735379362594,0.6820064726386375,rotate
A,HM-B.ST,2023-08-01,152.65,2023-09-12,152.0,42,-0.004271561901462273,0.6820064726386375,6wk-exit
A,SWED-A.ST,2023-08-01,149.55,2023-09-12,149.9,42,0.002340125837244189,0.6820064726386375,6wk-exit
A,SEB-A.ST,2023-08-01,102.55,2023-09-12,103.03,42,0.004733721911452049,0.5963847081809065,6wk-exit
A,EQT.ST,2023-08-22,215.97,2023-09-12,207.61,21,-0.0387183303903903,0.6479192204484766,rotate
A,VOLV-B.ST,2023-08-22,189.94,2023-09-12,189.9,21,-0.00022348691645568408,0.6479192204484766,rotate
A,BALD-B.ST,2023-08-22,47.1,2023-10-03,45.99,42,-0.02356681171155839,0.6479192204484766,6wk-exit
A,NDA-SE.ST,2023-09-12,117.54,2023-10-03,115.76,21,-0.015179292147110113,0.6605526544315775,rotate
A,SECU-B.ST,2023-09-12,76.9,2023-10-03,78.26,21,0.01764290552080139,0.6605526544315775,rotate
A,CAST.ST,2023-09-12,110.36,2023-10-03,105.66,21,-0.04253428413487503,0.6079842798144212,rotate
A,FABG.ST,2023-09-12,84.39,2023-10-24,74.78,42,-0.11387920143166419,0.6605526544315776,6wk-exit
A,SKA-B.ST,2023-09-12,147.02,2023-10-24,147.63,42,0.00419537655429858,0.6605526544315775,6wk-exit
A,GETI-B.ST,2023-10-03,177.41,2023-10-24,180.77,21,0.018942388335216886,0.636776342175443,rotate
A,TREL-B.ST,2023-10-03,256.0,2023-10-24,251.39,21,-0.01800157549250836,0.636776342175443,rotate
A,SWED-A.ST,2023-10-03,152.0,2023-11-14,142.59,42,-0.06190839788148095,0.636776342175443,6wk-exit
A,HOLM-B.ST,2023-10-03,376.97,2023-11-14,393.39,42,0.043541672603303994,0.6160370427250634,6wk-exit
A,SHB-A.ST,2023-10-24,66.95,2023-11-14,67.44,21,0.007439575670672882,0.6279060339745618,rotate
A,SAAB-B.ST,2023-10-24,140.15,2023-11-14,138.08,21,-0.014788599294772053,0.6279060339745617,rotate
A,TEL2-B.ST,2023-10-24,70.23,2023-12-05,73.83,42,0.051205704668022545,0.6279060339745618,6wk-exit
A,SCA-B.ST,2023-10-24,138.23,2023-12-05,144.48,42,0.04527024811753444,0.6279060339745617,6wk-exit
A,TELIA.ST,2023-11-14,20.64,2023-12-05,21.7,21,0.05115498956712683,0.6327356034755472,rotate
A,SKA-B.ST,2023-11-14,144.11,2023-12-05,150.72,21,0.04585745671133301,0.6327356034755472,rotate
A,GETI-B.ST,2023-11-14,199.76,2023-12-28,209.38,44,0.048131012022593955,0.6327356034755472,6wk-exit
A,SSAB-A.ST,2023-11-14,63.3,2023-12-28,66.73,44,0.05422339984329194,0.5823725029693636,6wk-exit
A,EQT.ST,2023-12-05,236.06,2023-12-28,275.81,23,0.16837361731696876,0.6541339115394865,rotate
A,SINCH.ST,2023-12-05,31.34,2024-01-19,28.16,45,-0.10146778205785023,0.6591685601154524,6wk-exit
A,BALD-B.ST,2023-12-05,65.92,2024-01-19,63.88,45,-0.030946558821221437,0.6591685601154524,6wk-exit
A,WALL-B.ST,2023-12-05,47.63,2024-01-19,47.82,45,0.004080057288355032,0.6591685601154524,6wk-exit
A,HEXA-B.ST,2023-12-28,120.13,2024-01-19,112.31,22,-0.06509116032029738,0.6043922726651407,rotate
A,LATO-B.ST,2023-12-28,247.85,2024-02-09,254.74,43,0.027820187810278174,0.7140292795384436,6wk-exit
A,LIFCO-B.ST,2023-12-28,242.09,2024-02-09,262.31,43,0.08353522548144166,0.7140292795384436,6wk-exit
A,CAST.ST,2024-01-19,126.93,2024-02-09,123.36,21,-0.028120191151231433,0.6403556134878815,rotate
A,FABG.ST,2024-01-19,89.29,2024-02-09,83.54,21,-0.06440043248283045,0.6403556134878815,rotate
A,SSAB-A.ST,2024-01-19,62.25,2024-02-09,70.37,21,0.13050696175013066,0.5261052950510969,rotate
A,ADDT-B.ST,2024-01-19,203.08,2024-03-01,227.63,42,0.12088968140522649,0.6403556134878815,6wk-exit
A,SINCH.ST,2024-02-09,27.22,2024-03-01,26.64,21,-0.021128082297099504,0.6781561371007595,rotate
A,BALD-B.ST,2024-02-09,63.88,2024-03-01,67.36,21,0.05447713656932485,0.6781561371007595,rotate
A,EQT.ST,2024-02-09,269.23,2024-03-01,297.27,21,0.10416649900074892,0.6781561371007595,rotate
A,WALL-B.ST,2024-02-09,45.45,2024-03-01,46.31,21,0.018811555450366724,0.5965832430941252,rotate
A,SEB-A.ST,2024-02-09,119.37,2024-03-22,129.21,42,0.08242876810464628,0.6781561371007595,6wk-exit
A,EVO.ST,2024-03-01,1332.34,2024-03-22,1237.94,21,-0.07085322314603859,0.6916759975355187,rotate
A,LIFCO-B.ST,2024-03-01,272.18,2024-03-22,284.78,21,0.046302794338285436,0.6916759975355187,rotate
A,INVE-B.ST,2024-03-01,248.48,2024-03-22,257.46,21,0.03614696660354033,0.6714341765091626,rotate
A,SAAB-B.ST,2024-03-01,202.68,2024-04-16,227.77,46,0.12377431190381283,0.6916759975355187,6wk-exit
A,SHB-A.ST,2024-03-01,86.26,2024-04-16,83.28,46,-0.03450031704127121,0.6916759975355187,6wk-exit
A,SWED-A.ST,2024-03-22,174.2,2024-04-16,174.12,25,-0.00046599726568219424,0.7089369898741326,rotate
A,TREL-B.ST,2024-03-22,376.09,2024-04-16,350.8,25,-0.06726680306868016,0.6570443100761304,rotate
A,EQT.ST,2024-03-22,337.99,2024-05-08,301.72,47,-0.10729617957870785,0.7089369898741325,6wk-exit
A,VOLV-B.ST,2024-03-22,267.42,2024-05-08,249.32,47,-0.06771640352492847,0.7089369898741325,6wk-exit
A,SKF-B.ST,2024-04-16,205.03,2024-05-08,224.79,22,0.09640220029102231,0.6763773855090817,rotate
A,BALD-B.ST,2024-04-16,66.68,2024-05-08,70.34,22,0.0548889624469715,0.6763773855090817,rotate
A,INVE-B.ST,2024-04-16,248.96,2024-05-08,270.06,22,0.08475861722353728,0.6763773855090817,rotate
A,KINV-B.ST,2024-04-16,118.05,2024-05-30,124.8,44,0.057179159894138465,0.6763773855090817,6wk-exit
A,SAAB-B.ST,2024-05-08,229.55,2024-05-30,237.72,22,0.03559873475822051,0.7046359822687626,rotate
A,GETI-B.ST,2024-05-08,221.24,2024-05-30,179.75,22,-0.18752691538946453,0.6976569610405049,rotate
A,HM-B.ST,2024-05-08,153.6,2024-06-24,176.88,47,0.15155130209877754,0.7046359822687626,6wk-exit
A,BOL.ST,2024-05-08,348.63,2024-06-24,340.22,47,-0.024123471219589354,0.7046359822687626,6wk-exit
A,TEL2-B.ST,2024-05-08,89.34,2024-06-24,96.27,47,0.07757303235688151,0.7046359822687626,6wk-exit
A,ALFA.ST,2024-05-30,464.22,2024-07-15,443.34,46,-0.0449927424380675,0.7052066830023209,6wk-exit
A,AZN.ST,2024-05-30,1620.79,2024-07-15,1657.19,46,0.02245459779170078,0.7052066830023209,6wk-exit
A,ABB.ST,2024-05-30,576.12,2024-07-15,609.42,46,0.05780539476194768,0.5923547358301932,6wk-exit
A,ESSITY-B.ST,2024-06-24,260.07,2024-07-15,260.91,21,0.0032444315210093944,0.7110756940482457,rotate
