date,gross,outcome
2025-01-07,-0.0062457824507975435,STOP
2025-01-08,-0.005684360560382351,STOP
2025-01-09,0.0010022472922501802,EOD
2025-01-13,-0.001059405753373266,EOD
2025-01-14,-0.0039579875064736925,STOP
2025-01-15,0.014685297235522254,EOD
2025-01-16,-0.0015537111173917761,EOD
2025-01-17,0.0058059773815872795,EOD
2025-01-21,0.0034910136298658134,EOD
2025-01-22,-0.0054653594737613664,STOP
2025-01-23,0.005996559635767618,EOD
2025-01-27,0.002253403007390853,EOD
2025-01-28,-0.0048966957261704636,STOP
2025-01-29,0.0026632811668185763,EOD
2025-01-31,-0.004174168863225969,STOP
2025-02-03,0.0018167390073633438,EOD
2025-02-05,-0.003687212545656182,STOP
2025-02-06,0.006598290081369251,EOD
2025-02-10,0.001426051613043322,EOD
2025-02-11,0.002567752146248603,EOD
2025-02-12,-0.005347624230785497,STOP
2025-02-13,-0.0026658765631943915,STOP
2025-02-14,-0.002805934297125945,STOP
2025-02-17,0.004807273990919958,EOD
2025-02-18,0.0026273888036463244,EOD
2025-02-20,0.0017049319090687298,EOD
2025-02-21,-0.004353535686529741,STOP
2025-02-25,0.0024278171256406633,EOD
2025-02-26,0.004915436971147935,EOD
2025-02-27,-0.0039209679047422785,STOP
2025-02-28,-0.005055186501192965,STOP
2025-03-03,-0.0010875445846632026,EOD
2025-03-05,0.0024847635728053596,EOD
2025-03-07,0.006400298601977772,EOD
2025-03-11,-0.008537876334104855,STOP
2025-03-12,-0.005861851426869125,STOP
2025-03-13,0.00012098637833557468,EOD
2025-03-14,0.004857498352681233,EOD
2025-03-17,-0.002263077215320042,EOD
2025-03-18,-0.002760298922826032,STOP
2025-03-25,0.0034678778424031,EOD
2025-03-28,-0.004979130778485552,STOP
2025-04-01,-0.006089917487802077,STOP
2025-04-07,-0.04105034655450179,EOD
2025-04-08,0.003077383823123503,EOD
2025-04-11,-0.0042761288650334794,EOD
2025-04-14,0.006235532366375196,EOD
2025-04-15,0.005596338368757614,EOD
2025-04-22,0.0012403177719773062,EOD
2025-04-23,-0.003758347038976262,EOD
2025-04-24,0.005394819238152104,EOD
2025-04-25,-0.0007161802353755631,EOD
2025-04-28,-0.005063873656262263,EOD
2025-04-30,0.002788221777137556,EOD
2025-05-05,-0.003813668349119781,STOP
2025-05-07,-0.0009766408609604982,EOD
2025-05-08,-8.48220128173427e-05,EOD
2025-05-12,0.008781904307047839,EOD
2025-05-15,0.010107537604016947,EOD
2025-05-16,-0.007254812028314461,STOP
2025-05-19,0.0015669713821946374,EOD
2025-05-20,0.0021915283306370714,EOD
2025-05-27,-0.0030860223659775476,EOD
2025-05-30,-0.005288486140683446,EOD
2025-06-04,0.001455404474667521,EOD
2025-06-05,-0.0023416378287465234,EOD
2025-06-10,-0.003660751001204887,STOP
2025-06-11,-0.003984053322248715,STOP
2025-06-13,-0.0004785960705714354,EOD
2025-06-16,0.00461358317745697,EOD
2025-06-17,-0.0053058334543020225,STOP
2025-06-23,-0.008290921620999536,STOP
2025-06-27,0.007456860277105015,EOD
2025-07-02,0.007503998667533374,EOD
2025-07-03,-0.0023481486110574767,EOD
2025-07-07,0.00023965270078485368,EOD
2025-07-08,-0.0042808635206937895,STOP
2025-07-09,0.002996595799977353,EOD
2025-07-10,0.0056199991512817515,EOD
2025-07-14,0.0009539136660363656,EOD
2025-07-15,-0.00443075021404693,STOP
2025-07-16,-0.0042614594358416635,STOP
2025-07-21,-0.0029513764530826325,STOP
2025-07-23,0.004597129617883056,EOD
2025-07-24,-0.003891287738005511,STOP
2025-07-25,0.0022421299398758254,EOD
2025-07-29,-0.004442153755307099,EOD
2025-07-30,-0.000993676138339561,EOD
2025-08-04,1.3294868123514547e-05,EOD
2025-08-05,-0.0029170182958639934,EOD
2025-08-06,-0.004367751433674405,STOP
2025-08-07,0.005374242849799371,EOD
2025-08-08,-0.003229246620932824,STOP
2025-08-12,-0.0002918556283749707,EOD
2025-08-14,0.00345910561143703,EOD
2025-08-19,0.0074009012124536255,EOD
2025-08-20,0.0017350481851905464,EOD
2025-08-22,0.011077966051912469,EOD
2025-08-26,-0.0018107496083298313,EOD
2025-08-28,-0.0030066354823212738,STOP
2025-09-01,-0.0038007421214081294,STOP
2025-09-03,0.00039834272125061077,EOD
2025-09-04,-0.0016960999143443845,EOD
2025-09-05,-0.006618219064772335,STOP
2025-09-08,0.0003658527222172303,EOD
2025-09-11,0.0010775839086984984,EOD
2025-09-12,-0.003457682997090483,STOP
2025-09-15,-0.004832618289129509,STOP
2025-09-16,-0.004200037220780661,STOP
2025-09-17,-0.003116745571892565,STOP
2025-09-18,-0.0017592820812097898,EOD
2025-09-19,-0.0012235397662402336,EOD
2025-09-23,0.0003277637869929517,EOD
2025-09-26,-0.003022933604727829,STOP
2025-09-29,-0.004644946311081366,STOP
2025-09-30,0.004125570083043595,EOD
2025-10-01,0.006237826208964181,EOD
2025-10-02,-0.0011197057956591205,EOD
2025-10-03,-0.0029653695104413513,STOP
2025-10-06,0.0021253922524124835,EOD
2025-10-08,-0.005555636737932135,STOP
2025-10-10,-0.00422621324029504,STOP
2025-10-14,0.0057344062752267,EOD
2025-10-16,-0.006129048671590254,STOP
2025-10-17,-0.005734492391312296,EOD
2025-10-20,-0.00352218934446924,STOP
2025-10-21,-0.002984126854214897,STOP
2025-10-22,-0.0034043377546152387,EOD
2025-10-23,-0.00022486518491138252,EOD
2025-10-24,0.0023720051930695707,EOD
2025-10-27,0.00015526642505392374,EOD
2025-10-30,0.0004897771742069512,EOD
2025-11-03,-0.006421043994953135,EOD
2025-11-04,0.003899188000000331,EOD
2025-11-05,0.0034244511026293445,EOD
2025-11-06,-0.001984603539681773,EOD
