date,equity,cash
2016-05-25,309815.35892549634,309815.35892549634
2016-05-26,308932.2454565112,311205.9929848079
2016-05-27,307968.9936824633,313724.3706043118
2016-05-30,309528.1476279518,313724.3706043118
2016-05-31,310132.9466039335,313724.3706043118
2016-06-01,310860.25896217476,313724.3706043118
2016-06-02,309021.81661602197,311687.8990987512
2016-06-03,309214.21610536095,311687.8990987512
2016-06-06,310243.33655462426,311687.8990987512
2016-06-07,309605.4987717549,312491.3404349535
2016-06-08,310164.1369344837,312491.3404349535
2016-06-09,307695.9323193492,310086.30235995643
2016-06-10,308212.3014760451,310086.30235995643
2016-06-13,308075.8110832559,311430.16704490583
2016-06-14,308509.2115037344,311430.16704490583
2016-06-15,306531.2003914743,312937.0805476515
2016-06-16,305407.20218316565,308153.82731644344
2016-06-17,305033.17290692945,308675.0599786649
2016-06-20,304994.0591057719,311362.84202505247
2016-06-21,305177.36156856676,311362.84202505247
2016-06-22,307073.87340943026,312038.9288344488
2016-06-23,304211.6147673566,311707.42517342797
2016-06-24,298618.74869778974,311707.42517342797
2016-06-27,299009.17053011246,311707.42517342797
2016-06-28,300427.0689328456,311707.42517342797
2016-06-29,298886.79178236483,298886.79178236483
2016-06-30,297998.23275801504,300672.8599168611
2016-07-01,297408.6268348892,301163.3409064392
2016-07-04,297578.4826731637,302698.3835088529
2016-07-05,297842.33758163906,302698.3835088529
2016-07-07,297253.0671281754,299955.9523454057
2016-07-08,297679.0610742367,299955.9523454057
2016-07-11,295880.1616675206,304513.66942718846
2016-07-12,295757.70564388746,295757.70564388746
2016-07-13,295757.70564388746,295757.70564388746
2016-07-14,294866.7566188965,298391.7326796127
2016-07-15,295268.9410571714,298391.7326796127
2016-07-18,295287.6791873482,299369.0999883899
2016-07-19,295840.0954331855,299369.0999883899
2016-07-20,296068.1261675767,299369.0999883899
2016-07-21,294989.6911172948,297747.39484272123
2016-07-22,295412.5615183513,297747.39484272123
2016-07-25,296293.2904805992,299164.58831128693
2016-07-26,294941.6408923696,299717.20093209343
2016-07-27,295802.1078163495,299717.20093209343
2016-07-28,294025.3872093978,297586.70068207505
2016-07-29,293532.28888534877,298416.3973368429
2016-08-01,294424.49137058615,298416.3973368429
2016-08-02,294196.8692675249,299250.5119740947
2016-08-03,291721.9749035625,291721.9749035625
2016-08-04,289504.2396024407,294974.97533649637
2016-08-05,283490.5785395601,283490.5785395601
2016-08-08,283490.5785395601,283490.5785395601
2016-08-09,283490.5785395601,283490.5785395601
2016-08-10,283490.5785395601,283490.5785395601
2016-08-11,282597.80213797814,285839.2866248569
2016-08-16,283397.5868420894,286400.233197477
2016-08-17,283578.74426942435,286400.233197477
2016-08-18,280708.73866050644,285825.2844416286
2016-08-19,281082.6477754909,285825.2844416286
2016-08-22,280860.6720858478,289051.21727913676
2016-08-23,281731.90547111724,289051.21727913676
2016-08-24,283293.46935238433,289051.21727913676
2016-08-25,279177.5837157145,284460.17883057083
2016-08-26,279408.2400773146,284460.17883057083
2016-08-29,280800.62416245346,284460.17883057083
2016-08-30,273843.53187309747,273843.53187309747
2016-08-31,273843.53187309747,273843.53187309747
2016-09-01,272955.28075553826,276769.8634203936
2016-09-02,273516.9236320957,276769.8634203936
2016-09-06,270501.9052449248,270501.9052449248
2016-09-07,270501.9052449248,270501.9052449248
2016-09-08,269613.8009831633,272685.66105705337
2016-09-09,267834.4940023106,277212.4195567308
2016-09-12,267870.45553538523,277212.4195567308
2016-09-14,268426.94571408874,277212.4195567308
2016-09-15,267132.9961074505,270764.51890713844
2016-09-16,267332.404099352,270764.51890713844
2016-09-19,267643.30181461613,272266.6963894994
2016-09-20,267660.79677589354,272266.6963894994
2016-09-21,267871.0916201544,272916.85909367155
2016-09-22,265068.93896105286,268382.4752076682
2016-09-23,264669.88332972233,268873.0182697728
2016-09-26,263893.50135243905,273975.35478613304
2016-09-27,264922.8989641002,273975.35478613304
2016-09-28,264944.8456292354,273975.35478613304
2016-09-29,263444.81287815335,266576.41689175885
2016-09-30,263746.85701679223,266576.41689175885
2016-10-03,262653.5011754495,270989.714499258
2016-10-04,263743.1563323812,270989.714499258
2016-10-05,265177.47766054637,270989.714499258
2016-10-06,263575.5327505401,266097.130589285
2016-10-07,263876.9988978694,266097.130589285
2016-10-10,264583.0134944032,266097.130589285
2016-10-13,262555.06079534267,265078.8855932936
2016-10-14,262700.92161016806,265078.8855932936
2016-10-17,262916.9786371591,266149.7199464992
2016-10-18,256982.9445184348,256982.9445184348
2016-10-19,256982.9445184348,256982.9445184348
2016-10-20,256091.91699323864,259337.11069145112
2016-10-21,256318.37866158853,259337.11069145112
2016-10-24,257391.21207422996,259337.11069145112
2016-10-25,257204.88401877278,259445.18069387125
2016-10-26,256841.65186439606,260607.42134350113
2016-10-27,255713.4492504567,258296.05856886847
2016-10-28,255792.6039301104,258296.05856886847
2016-11-01,257291.90700282442,258296.05856886847
2016-11-02,256700.8140338632,259139.75764610927
2016-11-03,255550.96098573267,258534.4760919898
2016-11-04,255512.2822262143,259129.78515317815
2016-11-07,254882.3192299986,259880.24837768826
2016-11-08,254070.0417784682,262378.07035834336
2016-11-09,251515.59745291006,262378.07035834336
2016-11-10,252176.35122815563,255834.8662456326
2016-11-11,247494.13126399321,247494.13126399321
2016-11-15,247494.13126399321,247494.13126399321
2016-11-16,247494.13126399321,247494.13126399321
2016-11-17,246606.65546551565,249751.1189498467
2016-11-18,246841.61219245242,249751.1189498467
2016-11-21,245835.3128615452,252799.53607755064
2016-11-22,244648.59240002706,252799.53607755064
2016-11-23,243991.40552434465,255299.9152640982
2016-11-24,243382.0162360687,244761.61158437651
2016-11-25,242634.3142425455,247147.8762312121
2016-11-28,243601.55498049702,247147.8762312121
2016-11-29,244025.77242232775,247147.8762312121
2016-11-30,244009.09357827285,249807.79247621237
2016-12-01,243333.24928027837,244595.69796770762
2016-12-02,242980.3061319232,245823.41829163834
2016-12-05,243523.10409744876,245823.41829163834
2016-12-06,243814.1844020059,245823.41829163834
2016-12-07,244355.70307984608,245823.41829163834
2016-12-08,242180.11808656424,243477.702954667
2016-12-09,242380.1182257649,243477.702954667
2016-12-12,242649.16077685583,243944.13486017383
2016-12-13,242953.7381905171,243924.9642402343
2016-12-14,243157.9001507909,243924.9642402343
2016-12-15,241785.68149791798,244937.81902585592
2016-12-16,241980.539308774,244937.81902585592
2016-12-19,242690.5085505839,246241.1770736565
2016-12-20,243410.53801418617,246241.1770736565
2016-12-21,243369.21390241748,246449.3808527352
2016-12-22,241126.128943222,242411.89375896988
2016-12-23,241573.04513970966,242411.89375896988
2016-12-26,241542.87817210102,243164.96817830345
2016-12-27,238698.14049416373,238698.14049416373
2016-12-28,238698.14049416373,238698.14049416373
2016-12-29,237802.89158541118,241593.11704872426
2016-12-30,237350.97962674458,244707.30517229365
2017-01-02,238776.17852857584,244707.30517229365
2017-01-03,239464.61671038572,244707.30517229365
2017-01-04,240153.3710468498,244707.30517229365
