date,equity,cash,n_positions
2020-10-16,63736.63554191589,63736.63554191589,0
2020-10-23,63658.63554191589,42495.642278671265,2
2020-10-30,62741.70774650574,42495.642278671265,2
2020-11-06,63623.66885948181,108.48356437683105,6
2020-11-13,65604.96343803406,44712.28309440613,2
2020-11-20,65908.5048046112,44712.28309440613,2
2020-11-27,66025.30564689636,44712.28309440613,2
2020-12-04,66131.32809257507,44712.28309440613,2
2020-12-11,66254.154920578,56515.97787284851,1
2020-12-18,66142.22183036804,56515.97787284851,1
2020-12-25,66019.5148601532,45545.773694992065,2
2021-01-01,65989.69248008728,45545.773694992065,2
2021-01-08,66364.68064689636,34461.809339523315,3
2021-01-15,66977.1433544159,21688.39790916443,4
2021-01-22,68110.41843223572,56673.581823349,1
2021-01-29,67579.56290245056,45392.73159599304,2
2021-02-05,68633.61598777771,57196.77937889099,1
2021-02-12,68752.95094871521,57196.77937889099,1
2021-02-19,69271.90828514099,69271.90828514099,0
2021-02-26,69271.90828514099,69271.90828514099,0
2021-03-05,69232.90828514099,57709.851819992065,1
2021-03-12,69684.09320640564,34446.88516044617,3
2021-03-19,69757.49866104126,46009.43967247009,2
2021-03-26,70138.4608039856,58618.017597198486,1
2021-04-02,70570.95431900024,58618.017597198486,1
2021-04-09,71142.53355789185,71142.53355789185,0
2021-04-16,71142.53355789185,71142.53355789185,0
2021-04-23,71142.53355789185,71142.53355789185,0
2021-04-30,71142.53355789185,71142.53355789185,0
2021-05-07,71064.53355789185,47556.98805618286,2
2021-05-14,71381.16832351685,59532.669467926025,1
2021-05-21,70773.02431106567,59532.669467926025,1
2021-05-28,71089.63487625122,47723.86192703247,2
2021-06-04,71514.04077529907,47723.86192703247,2
2021-06-11,70965.52370071411,24055.42361831665,4
2021-06-18,70113.13070297241,24055.42361831665,4
2021-06-25,70353.619556427,1272.0420608520508,6
2021-07-02,71390.50584411621,1272.0420608520508,6
2021-07-09,71656.08905029297,1074.8587341308594,6
2021-07-16,69973.60536193848,13144.154769897461,5
2021-07-23,70173.75040435791,2007.792579650879,6
2021-07-30,69615.38613128662,23979.992073059082,4
2021-08-06,68493.06830596924,23979.992073059082,4
2021-08-13,69121.13150787354,36051.49237823486,3
2021-08-20,67091.57669830322,36051.49237823486,3
2021-08-27,68157.46701812744,24691.614082336426,4
2021-09-03,67541.57669830322,24691.614082336426,4
2021-09-10,67389.17049407959,13432.075300216675,5
2021-09-17,66255.77311515808,23609.947080612183,4
2021-09-24,66258.52693748474,2101.9369258880615,6
2021-10-01,65129.54274559021,12385.109777450562,5
2021-10-08,65109.56991767883,2441.2536220550537,6
2021-10-15,67169.4471206665,753.3760585784912,6
2021-10-22,66343.1475982666,12111.300802230835,5
2021-10-29,65903.31463432312,12111.300802230835,5
2021-11-05,66535.73410224915,1010.3531246185303,6
2021-11-12,68401.73345375061,1010.3531246185303,6
2021-11-19,69315.57337379456,1010.3531246185303,6
2021-11-26,67920.23188591003,1010.3531246185303,6
2021-12-03,68079.34127807617,12414.841049194336,5
2021-12-10,68554.63080215454,34915.645542144775,3
2021-12-17,67779.49975204468,23592.127964019775,4
2021-12-24,69055.6932182312,931.2477684020996,6
2021-12-31,70017.54501724243,35150.171016693115,3
2022-01-07,70211.01991653442,47122.42653274536,2
2022-01-14,70379.39552688599,47122.42653274536,2
2022-01-21,70125.58046340942,58964.048236846924,1
2022-01-28,69948.21327590942,47278.1671333313,2
2022-02-04,69700.64519119263,35761.032901763916,3
2022-02-11,70710.01176834106,12256.350193023682,5
2022-02-18,69455.46052932739,12256.350193023682,5
2022-02-25,66621.29755020142,21909.03769302368,4
2022-03-04,67276.4402809143,45594.723072052,2
2022-03-11,67743.4606513977,34325.902362823486,3
2022-03-18,69390.65701675415,45924.48091506958,2
2022-03-25,68337.45001602173,45924.48091506958,2
2022-04-01,68119.5573310852,45924.48091506958,2
2022-04-08,68048.55272293091,45924.48091506958,2
2022-04-15,67589.41508865356,45924.48091506958,2
2022-04-22,68019.60277175903,45924.48091506958,2
2022-04-29,67686.91926956177,56848.655475616455,1
2022-05-06,67246.23463821411,67246.23463821411,0
2022-05-13,67246.23463821411,67246.23463821411,0
2022-05-20,67246.23463821411,67246.23463821411,0
2022-05-27,67246.23463821411,67246.23463821411,0
2022-06-03,67246.23463821411,67246.23463821411,0
2022-06-10,67246.23463821411,67246.23463821411,0
2022-06-17,67207.23463821411,56107.67702102661,1
2022-06-24,67797.53993606567,56107.67702102661,1
2022-07-01,68045.99757766724,56738.19890213013,1
2022-07-08,68317.84204483032,56738.19890213013,1
2022-07-15,67950.61247634888,56738.19890213013,1
2022-07-22,67654.92219924927,56738.19890213013,1
2022-07-29,67758.99705886841,45421.37802886963,2
2022-08-05,67619.06021308899,34144.127296447754,3
2022-08-12,67606.07604026794,34144.127296447754,3
2022-08-19,68418.16615486145,34144.127296447754,3
2022-08-26,67776.78331184387,34144.127296447754,3
2022-09-02,66952.16311645508,34144.127296447754,3
2022-09-09,65947.28203010559,34144.127296447754,3
2022-09-16,64898.55728340149,54264.84080505371,1
2022-09-23,64399.05281829834,64399.05281829834,0
2022-09-30,64360.05281829834,53642.39603424072,1
2022-10-07,64462.88549041748,43651.96048736572,2
2022-10-14,65021.46120452881,43651.96048736572,2
2022-10-21,65261.81000518799,43651.96048736572,2
2022-10-28,66329.40935516357,56103.532402038574,1
2022-11-04,66707.26091766357,56103.532402038574,1
2022-11-11,66460.66130828857,56103.532402038574,1
2022-11-18,67081.13591766357,56103.532402038574,1
2022-11-25,67073.95427703857,67073.95427703857,0
2022-12-02,67073.95427703857,67073.95427703857,0
2022-12-09,67073.95427703857,67073.95427703857,0
2022-12-16,67073.95427703857,67073.95427703857,0
2022-12-23,67073.95427703857,67073.95427703857,0
2022-12-30,67073.95427703857,67073.95427703857,0
2023-01-06,67073.95427703857,67073.95427703857,0
2023-01-13,67073.95427703857,67073.95427703857,0
2023-01-20,67073.95427703857,67073.95427703857,0
2023-01-27,67073.95427703857,67073.95427703857,0
2023-02-03,67034.95427703857,55910.00224304199,1
2023-02-10,66542.08316802979,45886.256759643555,2
2023-02-17,66575.82950592041,34749.96630859375,3
2023-02-24,66274.23868560791,46055.2068939209,2
2023-03-03,66232.40584564209,46055.2068939209,2
2023-03-10,66149.23924255371,46055.2068939209,2
2023-03-17,65932.61185455322,46055.2068939209,2
2023-03-24,65974.50807952881,2306.481918334961,6
2023-03-31,69312.10620117188,2448.5570220947266,6
2023-04-07,69066.6361618042,13015.318374633789,5
2023-04-14,71187.2709350586,1279.5177612304688,6
2023-04-21,71275.54071044922,1279.5177612304688,6
2023-04-28,71710.5923538208,1999.1549224853516,6
2023-05-05,71200.21844482422,1999.1549224853516,6
2023-05-12,70399.72097015381,1999.1549224853516,6
2023-05-19,71558.10219573975,14050.208381652832,5
2023-05-26,70783.07599639893,14050.208381652832,5
2023-06-02,71587.61067962646,2248.5976333618164,6
2023-06-09,73559.4887008667,15053.895637512207,5
2023-06-16,74164.84784698486,25015.107109069824,4
2023-06-23,72431.10732269287,36641.48587799072,3
2023-06-30,72511.08695220947,12567.84935760498,5
2023-07-07,70366.46695709229,12567.84935760498,5
2023-07-14,69410.97303009033,11964.5277633667,5
2023-07-21,69945.1689529419,293.6088180541992,6
2023-07-28,70283.27741241455,1589.9919204711914,6
2023-08-04,69377.32492828369,1589.9919204711914,6
2023-08-11,68801.57991790771,1589.9919204711914,6
2023-08-18,66976.85846710205,10766.059303283691,5
2023-08-25,67944.57459259033,77.63211822509766,6
2023-09-01,69796.47779083252,77.63211822509766,6
2023-09-08,69459.06357574463,12183.400428771973,5
2023-09-15,69319.43849945068,25266.729774475098,4
2023-09-22,68577.21807098389,25266.729774475098,4
2023-09-29,68663.91315460205,13818.576393127441,5
2023-10-06,68870.76750946045,2337.5935134887695,6
2023-10-13,69515.63861846924,2692.200569152832,6
2023-10-20,65805.96878814697,32540.351264953613,3
2023-10-27,65422.06763458252,21643.88158416748,4
2023-11-03,67141.49787139893,50.13317108154297,6
2023-11-10,66920.80732727051,11447.9683303833,5
2023-11-17,69282.95652008057,22078.59577178955,4
2023-11-24,69818.0284500122,47128.73548126221,2
2023-12-01,69757.79773712158,47128.73548126221,2
2023-12-08,70372.04782867432,46812.67455291748,2
2023-12-15,70943.33380126953,70943.33380126953,0
2023-12-22,70943.33380126953,70943.33380126953,0
2023-12-29,70943.33380126953,70943.33380126953,0
2024-01-05,70943.33380126953,70943.33380126953,0
2024-01-12,70943.33380126953,70943.33380126953,0
2024-01-19,70943.33380126953,70943.33380126953,0
2024-01-26,70943.33380126953,70943.33380126953,0
2024-02-02,70904.33380126953,59120.87872314453,1
2024-02-09,70310.31231689453,59120.87872314453,1
2024-02-16,70517.20098876953,35572.729263305664,3
2024-02-23,70742.18395996094,35572.729263305664,3
2024-03-01,71743.59107208252,35572.729263305664,3
2024-03-08,72042.81460571289,47920.274154663086,2
2024-03-15,72690.81983947754,23881.021572113037,4
2024-03-22,72753.8233089447,36395.13235282898,3
2024-03-29,72792.89565849304,36395.13235282898,3
2024-04-05,73814.91439628601,49883.87180137634,2
2024-04-12,73833.43471336365,49883.87180137634,2
2024-04-19,74447.42875480652,62346.38547325134,1
2024-04-26,74683.860830307,62346.38547325134,1
2024-05-03,74511.59991264343,49962.42072105408,2
2024-05-10,75191.0945110321,24955.120473861694,4
2024-05-17,74582.5420589447,38130.747579574585,3
2024-05-24,74251.42792320251,38130.747579574585,3
2024-05-31,73676.82842063904,49324.10964012146,2
2024-06-07,74141.88309288025,49324.10964012146,2
2024-06-14,73975.71495628357,37045.2887172699,3
2024-06-21,74515.72044181824,12700.149648666382,5
2024-06-28,74829.03521537781,230.6026210784912,6
2024-07-05,74374.8051738739,230.6026210784912,6
2024-07-12,76187.57752799988,521.43727684021,6
2024-07-19,74512.86665916443,1081.4027156829834,6
2024-07-26,73479.08038902283,1435.3914012908936,6
2024-08-02,70272.63534355164,23333.769346237183,4
2024-08-09,69845.13616752625,87.3445873260498,6
2024-08-16,71443.27599906921,87.3445873260498,6
2024-08-23,72411.46928977966,87.3445873260498,6
2024-08-30,73285.64492607117,87.3445873260498,6
2024-09-06,69114.32436943054,33833.016386032104,3
2024-09-13,69235.16490745544,10732.234769821167,5
2024-09-20,70945.04646873474,10732.234769821167,5
2024-09-27,69672.49958610535,10732.234769821167,5
2024-10-04,69228.46626853943,1125.595365524292,6
2024-10-11,68809.95342826843,13695.984098434448,5
2024-10-18,70543.44614219666,26038.371755599976,4
2024-10-25,71030.60045433044,26038.371755599976,4
2024-11-01,69479.61188316345,38200.42282676697,3
2024-11-08,69395.26163291931,46525.99997520447,2
2024-11-15,69271.79608726501,46525.99997520447,2
2024-11-22,69530.10431480408,12367.8876247406,5
2024-11-29,69919.93555641174,12367.8876247406,5
2024-12-06,71558.28212928772,36300.77126121521,3
2024-12-13,70658.96710777283,48189.70290184021,2
2024-12-20,70264.52690315247,48189.70290184021,2
2024-12-27,70479.20063400269,13228.765516281128,5
2025-01-03,71031.06942176819,1465.7628154754639,6
2025-01-10,69885.3597240448,1760.2785930633545,6
2025-01-17,72413.98082351685,910.2990798950195,6
2025-01-24,72231.03385925293,25475.317207336426,4
2025-01-31,73564.2675819397,62954.56477737427,1
2025-02-07,73446.82648086548,51010.32063674927,2
2025-02-14,73859.29013442993,38814.68077468872,3
2025-02-21,76653.03539657593,53529.14909744263,2
2025-02-28,76137.43371200562,53529.14909744263,2
2025-03-07,75757.39986801147,41034.11717605591,3
2025-03-14,74477.60307693481,41034.11717605591,3
2025-03-21,74349.92583847046,41034.11717605591,3
2025-03-28,72842.95531082153,61769.283557891846,1
2025-04-04,71916.87889480591,71916.87889480591,0
2025-04-11,71838.87889480591,48019.168384552,2
2025-04-18,72818.45915603638,48019.168384552,2
2025-04-25,73458.9469947815,48019.168384552,2
2025-05-02,75505.01585769653,75505.01585769653,0
2025-05-09,75505.01585769653,75505.01585769653,0
2025-05-16,75505.01585769653,75505.01585769653,0
2025-05-23,75505.01585769653,75505.01585769653,0
2025-05-30,75505.01585769653,75505.01585769653,0
2025-06-06,75505.01585769653,75505.01585769653,0
2025-06-13,75505.01585769653,75505.01585769653,0
2025-06-20,75505.01585769653,75505.01585769653,0
2025-06-27,75505.01585769653,75505.01585769653,0
2025-07-04,75505.01585769653,75505.01585769653,0
2025-07-11,75505.01585769653,75505.01585769653,0
2025-07-18,75466.01585769653,62894.257038116455,1
2025-07-25,75589.39504623413,37805.44713973999,3
2025-08-01,74853.7346534729,37805.44713973999,3
2025-08-08,75672.44348526001,37789.184841156006,3
2025-08-15,76723.58819961548,50656.87661361694,2
2025-08-22,77092.88190841675,64005.16975784302,1
2025-08-29,76881.31962966919,64005.16975784302,1
2025-09-05,77024.69961166382,77024.69961166382,0
2025-09-12,77024.69961166382,77024.69961166382,0
2025-09-19,77024.69961166382,77024.69961166382,0
2025-09-26,77024.69961166382,77024.69961166382,0
2025-10-03,77024.69961166382,77024.69961166382,0
2025-10-10,77024.69961166382,77024.69961166382,0
2025-10-17,77024.69961166382,77024.69961166382,0
2025-10-24,76946.69961166382,51805.37679672241,2
2025-10-31,76555.62191390991,39025.97550582886,3
2025-11-07,75879.04114151001,39170.016498565674,3
2025-11-14,75804.75192642212,39170.016498565674,3
2025-11-21,74465.00127029419,39170.016498565674,3
2025-11-28,75260.5309638977,26856.372943878174,4
2025-12-05,76008.61346817017,26964.592014312744,4
2025-12-12,76316.58180618286,39632.79178237915,3
2025-12-19,76648.93126296997,39632.79178237915,3
2025-12-26,77113.69546890259,39632.79178237915,3
2026-01-02,77976.8602027893,65795.57855606079,1
2026-01-09,78489.15744400024,65795.57855606079,1
2026-01-16,77846.78509902954,52813.828006744385,2
2026-01-23,78485.92366409302,39693.72911453247,3
2026-01-30,77445.98189163208,52583.70547866821,2
2026-02-06,78797.24034500122,27618.014041900635,4
2026-02-13,79124.82286453247,66444.82286453247,1
2026-02-20,79492.82335281372,66444.82286453247,1
2026-02-27,79789.8231086731,79789.8231086731,0
2026-03-06,79789.8231086731,79789.8231086731,0
2026-03-13,79633.8231086731,26806.284061431885,4
2026-03-20,77435.3621711731,26806.284061431885,4
2026-03-27,77235.55058670044,1177.1910133361816,6
2026-04-03,80171.58192825317,1479.8910179138184,6
2026-04-10,83503.47686386108,14964.891338348389,5
2026-04-17,84533.55411911011,29138.691997528076,4
2026-04-24,83037.05335617065,29138.691997528076,4
2026-05-01,82803.58111190796,29138.691997528076,4
2026-05-08,83225.94076156616,29138.691997528076,4
2026-05-15,82208.84371566772,15447.691997528076,5
2026-05-22,83936.59075546265,29906.29105758667,4
