lookback_d,stop,max_hold_d,trend,final,cagr,sharpe,max_dd,monthly,trades_yr,win_rate,avg_hold_d,fees,buys
40,0.03,15,False,28568.467328071594,-0.1047156112183516,-0.6293658476276929,-0.7408661369739158,-525.5492568774041,211.89267585206673,0.5505430242272348,4.324979114452798,186966.0,2400
40,0.05,15,True,15329.675084114075,-0.15259341936812354,-1.6009071621405115,-0.8681101133154631,-622.9521427670481,122.36802030456853,0.5639913232104121,4.1475054229934925,107991.0,1386
40,0.03,15,True,14327.012948036194,-0.157639194101041,-1.6382048307614039,-0.876995945162779,-630.3291137041693,123.42748368382887,0.5641577060931899,4.096774193548387,108927.0,1398
20,0.03,15,True,2924.428380012512,-0.2663661781142821,-2.7606435310084296,-0.9727026705014662,-709.4208190116133,135.40120048019207,0.5712435233160622,2.8063471502590676,120432.0,1544
20,0.03,60,True,2921.172427177429,-0.26643784397844883,-2.622263870723327,-0.9711107905223493,-709.4446132647748,136.36584633853542,0.5916398713826366,3.6906752411575563,121290.0,1555
20,0.05,60,True,2881.030939102173,-0.26732742624768435,-2.5944907555994074,-0.9714558851697468,-709.7379641755289,133.38421368547418,0.5910585141354372,3.7922419460881,118638.0,1521
20,0.05,15,True,2845.247564315796,-0.2681300123892981,-2.9233739605101197,-0.9733741401060443,-709.9994663292048,137.24279711884753,0.5750798722044729,2.8926517571884984,122070.0,1565
20,0.03,15,False,2828.0453491210938,-0.26851912398859556,-2.3271686642416243,-0.973349396125461,-710.125178796189,151.8001800720288,0.5649913344887348,3.4939341421143846,135018.0,1731
20,0.03,30,False,2827.0169649124146,-0.2685424542322311,-2.117164741981942,-0.9746824757480367,-710.1326941489745,171.88235294117646,0.5801020408163265,3.8862244897959184,152880.0,1960
20,0.03,60,False,2811.31689453125,-0.26889959565707666,-1.8872117749583663,-0.9747180952431045,-710.247429057072,192.84147659063626,0.5743519781718963,4.173260572987722,171522.0,2199
20,0.05,15,False,2792.4083490371704,-0.26933214601046374,-2.288663978710175,-0.9736852279298586,-710.3856112547854,157.14957983193278,0.5636160714285714,3.6205357142857144,139776.0,1792
20,0.03,30,True,2779.22110748291,-0.2696354007673559,-2.6214620791028422,-0.9730705946007301,-710.4819826028785,136.19045618247299,0.5866065679330328,3.359304571796523,121134.0,1553
20,0.05,30,True,2757.0131273269653,-0.2701490765548392,-2.680849051255832,-0.9735523025911857,-710.6442768156028,136.36584633853542,0.5877813504823152,3.4668810289389067,121290.0,1555
20,0.05,30,False,2639.650372505188,-0.27292805186869384,-2.1175767705014623,-0.9761628039055169,-711.5019548107739,174.0747298919568,0.5702770780856423,4.07455919395466,154830.0,1985
20,0.05,60,False,2606.3734254837036,-0.2737365147407157,-1.928042343040898,-0.9769484154054403,-711.7451401829147,199.330912364946,0.5697316322041355,4.21997360316762,177294.0,2273
