top_n,mom_w,reb_w,buf,stop,final,cagr,sharpe,max_dd,monthly,fees,trades,buys,stops,exits
8,12,4,0,0.15,267382.4460166312,0.09455603583071182,0.6429163682118996,-0.24542118354849662,1281.363984062176,33664.68120161533,854,431,29,394
8,8,1,8,0.15,268078.14565198513,0.09412402260428698,0.6501006097203793,-0.2530525354916979,1277.6919476229514,35532.63633615874,906,457,11,438
6,12,2,8,0.1,265037.7615271931,0.09367077989247363,0.6204609307308446,-0.2716620298470612,1263.4147048500859,23322.306944715492,548,277,44,227
4,26,2,8,0.1,260718.05634099583,0.0944530531951806,0.5601126811381522,-0.2715716459176226,1261.4378132746417,16634.39884394074,332,168,27,137
6,26,2,8,0.15,260610.52135196974,0.0944105286786896,0.6165839907340837,-0.33582152898183304,1260.593796712372,18259.827833973886,446,226,17,203
8,12,4,0,0.1,264647.8816854439,0.09352288821128862,0.6550115079018552,-0.2822574330825216,1260.430055030357,34509.16095905683,876,442,65,369
8,26,2,8,0.1,258699.65070152283,0.09365221551568537,0.6448871831917223,-0.3166399232069014,1245.5958272892215,22218.758571624756,568,288,39,241
8,12,4,4,0.15,262276.46411472315,0.09261906210220516,0.6216958780424413,-0.2732212541369572,1242.276125878241,25294.199542465205,644,326,28,290
8,12,2,0,0.1,262101.64244951247,0.09255213838821397,0.6512929120750997,-0.27642955814783043,1240.9378123885906,49340.749155864694,1258,633,48,577
8,26,4,0,0.15,255875.5892232265,0.09252216774142763,0.6352175637796152,-0.31832799276866275,1223.4304401706954,28485.33948389626,728,368,16,344
4,26,1,0,0.1,254602.72038114455,0.09200913161752333,0.5543209826499684,-0.3090954997965809,1213.4399952555666,47302.30689012624,942,473,16,453
8,12,2,0,0.15,258394.6418925648,0.09112342780282567,0.6426968626594018,-0.2712379869995156,1212.5595856652267,49057.9221752758,1252,630,15,607
4,26,1,0,0.15,254069.04979044897,0.09179334149300833,0.5534658228010344,-0.30806525013082064,1209.2513416701368,47102.59352963453,938,471,6,461
8,8,4,8,0.1,258500.41119641493,0.09049892445843133,0.6216299354924142,-0.28484377414251927,1204.8841822654545,23868.68578272628,608,308,56,244
8,26,2,8,0.15,253200.10146620942,0.09144110146021012,0.6294938768876445,-0.3249443199383283,1202.431172866877,22129.970820396426,566,287,16,263
8,8,4,8,0.15,257184.09327588268,0.0899912001842138,0.6032131961991379,-0.269538749483472,1194.8778319392306,23300.202225826273,594,301,24,269
8,8,4,4,0.15,257063.5191496315,0.08994457487749075,0.6060296711095815,-0.26488759052109123,1193.9612547744528,30388.685560375223,776,392,25,359
4,26,2,8,0.15,251519.29003272156,0.09075664296763497,0.5430972962583671,-0.2845929893823391,1189.238883540733,15771.740921639444,326,165,13,148
8,12,1,0,0.15,254307.356412714,0.08952641327005728,0.6371416010519316,-0.23855044543384685,1181.2701611700156,67221.16646402549,1720,864,7,849
8,12,1,0,0.1,253547.5424852848,0.08922696635189942,0.6351694877994042,-0.23893729512900552,1175.4535524134446,67370.15815443995,1724,866,37,821
8,12,2,8,0.1,253531.94699518586,0.08922081155132955,0.6310376431691681,-0.2797018693810881,1175.334164151401,26431.66031797028,676,342,45,289
6,8,1,4,0.15,252953.97478310397,0.088343434616041,0.5920770614797396,-0.2811216960941675,1162.721430434747,42591.03042109681,1038,522,10,506
8,8,4,4,0.1,251413.43195803073,0.08773711834263609,0.6010537216892278,-0.27247550083450567,1151.0105732324078,30756.648005653376,786,397,60,329
4,26,2,4,0.1,246401.6632876529,0.0886468326031904,0.5370278953215551,-0.31314666798491375,1149.0718479417058,19839.041313634883,402,203,28,171
6,26,2,4,0.1,246143.21235594945,0.08853923309098488,0.5863154157561955,-0.326030254052857,1147.043328025841,21896.49420037079,548,277,36,235
6,26,4,0,0.15,244861.97063189597,0.08800430457200648,0.5766163672056587,-0.2770422771857577,1136.9871663507822,24671.725031556132,607,306,15,286
6,8,1,4,0.1,249241.71393885324,0.08687662852297295,0.5839058638504488,-0.2808037298734548,1134.5016653381233,42957.55206284811,1052,529,38,485
4,26,2,4,0.15,243911.02215259746,0.08760563436237478,0.53026891707214,-0.3342830985890619,1129.5233978261178,19338.665339773186,398,201,13,184
8,8,2,4,0.15,248200.15301724436,0.08646151543144742,0.6016138396455285,-0.2817582565215022,1126.5839554101835,39734.31480483055,1016,512,17,487
6,26,1,4,0.1,242991.9100867844,0.08721897080128782,0.5851792799562465,-0.24123388079771557,1122.3095057417484,27662.44292816161,696,351,28,317
8,26,4,0,0.1,242158.60225486563,0.08686725767456083,0.6080211376403656,-0.3118875507042822,1115.769070689137,28833.604446413043,738,373,47,318
6,26,2,4,0.15,240536.7488053732,0.08617956940303761,0.5713924218877886,-0.3346840421245004,1103.0395285620286,21622.15128770542,544,275,17,252
8,8,2,4,0.1,244743.84166838648,0.0850725701345838,0.5931769969443305,-0.2924704374785514,1100.3098603350434,39876.15365384101,1020,514,47,459
6,26,1,4,0.15,239074.5031785774,0.08555594707640046,0.5757991646135959,-0.24803518238316458,1091.56271028828,27213.95515634538,686,346,8,332
8,26,2,4,0.1,238439.61742763134,0.08528410300858225,0.5922936492487003,-0.3258020177297454,1086.579642974092,26659.094381526946,682,345,50,287
8,12,2,8,0.15,239909.77271948435,0.08370880775779055,0.5967382776018366,-0.29335552185145863,1071.0522402286983,26400.929713148114,676,342,15,319
4,26,1,8,0.1,235454.96712019917,0.08399728920357807,0.5214179066004703,-0.3353785660547398,1063.1538323159004,18936.61449906349,396,200,21,175
6,26,4,0,0.1,235084.06452751835,0.08383634598799894,0.5576337998669522,-0.27745033065919,1060.242706048566,24906.752035134297,618,312,37,269
8,26,2,4,0.15,234147.3959747429,0.08342887764702134,0.5806273187074771,-0.33369713457552297,1052.8910172721085,26418.7953094368,676,342,20,314
4,26,1,8,0.15,234141.19699478624,0.08342617606016756,0.5182261588165247,-0.3336508727658679,1052.842362952245,18427.456102366454,386,195,8,183
8,8,2,0,0.15,237534.99521248814,0.08211733002382426,0.5806671713187955,-0.2756002266941291,1045.5098443506763,56913.22578246117,1458,733,14,711
6,26,1,0,0.15,231374.1576859769,0.08221375057298652,0.5497603859008889,-0.2538589664979778,1031.1245292849208,52930.24747874162,1306,656,7,643
6,26,1,0,0.1,230778.76380310341,0.08195115241628459,0.5481964683130801,-0.25391075756503556,1026.4514242539867,53213.81874503799,1314,660,24,630
4,8,1,0,0.15,233692.05959937302,0.0805084636546487,0.5194565890013334,-0.2462089867491437,1016.2967192946844,77194.77614929959,1516,760,6,750
4,8,1,0,0.1,233121.9097513954,0.08026772195420029,0.518208983314735,-0.2462119486263883,1011.9625694450793,77288.0344662866,1518,761,21,736
8,8,2,0,0.1,228793.53718877412,0.07842244641450935,0.5579856086894683,-0.2792517199071528,979.059262783045,57368.68696188354,1470,739,51,680
8,8,4,0,0.15,224798.71480830575,0.0766909991263589,0.5333648311045052,-0.26483298207574124,948.6915289654861,40365.27463451957,1034,521,26,487
6,26,2,0,0.1,217579.60760482785,0.07596617520707194,0.5109487500269476,-0.3065113512408941,922.8543853718277,35344.693830642726,894,450,34,410
