date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2011-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,297306,356512
2011-10-03,SIP,,monthly deposit,,,25000.0,0,contribution,322306,376607
2011-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,347306,405023
2011-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,372306,430461
2012-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,397306,455767
2012-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,422306,480198
2012-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,447306,506205
2012-03-30,BUY,TELIA.ST,Telia,4472,18.87,84391.0,127,dip to support,362789,506298
2012-03-30,BUY,ALFA.ST,Alfa Laval,841,100.3,84352.0,127,dip to support,278310,506171
2012-04-02,SIP,,monthly deposit,,,25000.0,0,contribution,303310,534573
2012-04-13,BUY,SAND.ST,Sandvik,1504,58.43,87882.0,132,dip to support,215297,527463
2012-04-13,BUY,BOL.ST,Boliden,1440,61.04,87901.0,132,dip to support,127263,527331
2012-04-13,BUY,SKA-B.ST,Skanska,1448,60.71,87915.0,132,dip to support,39216,527199
2012-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,64216,572591
2012-05-14,SELL,SKA-B.ST,Skanska,1448,56.56,81897.0,123,"support broke (entry 60.71, P/L -6.8%)",145991,553531
2012-05-18,SELL,BOL.ST,Boliden,1440,56.76,81738.0,123,"support broke (entry 61.04, P/L -7.0%)",227606,532805
2012-05-25,BUY,ADDT-B.ST,Addtech,8706,10.29,89589.0,134,dip to support,137883,537434
2012-05-25,BUY,HM-B.ST,H&M,712,125.83,89592.0,134,dip to support,48157,537300
2012-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,73157,544560
2012-06-01,SELL,ALFA.ST,Alfa Laval,841,87.76,73810.0,111,"support broke (entry 100.30, P/L -12.5%)",146857,544449
2012-06-08,BUY,HEXA-B.ST,Hexagon,5322,17.15,91279.0,137,dip to support,55441,547607
2012-06-26,SELL,SAND.ST,Sandvik,1504,54.95,82650.0,124,"support broke (entry 58.43, P/L -6.0%)",137967,537181
2012-06-26,SELL,HEXA-B.ST,Hexagon,5322,15.35,81697.0,123,"support broke (entry 17.15, P/L -10.5%)",219542,537059
2012-06-27,SELL,ADDT-B.ST,Addtech,8706,9.51,82813.0,124,"support broke (entry 10.29, P/L -7.6%)",302231,538676
2012-06-29,BUY,ADDT-B.ST,Addtech,9216,9.8,90321.0,135,dip to support,211775,541801
2012-06-29,BUY,SCA-B.ST,SCA,9321,9.69,90315.0,135,dip to support,121324,541666
2012-06-29,BUY,INVE-B.ST,Investor,3866,23.36,90301.0,135,dip to support,30888,541530
2012-07-02,SIP,,monthly deposit,,,25000.0,0,contribution,55888,567224
2012-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,80888,618742
2012-09-03,SIP,,monthly deposit,,,25000.0,0,contribution,105888,650560
2012-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,130888,681902
2012-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,155888,696170
2012-12-03,SIP,,monthly deposit,,,25000.0,0,contribution,180888,737855
2013-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,205888,790242
2013-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,230888,840559
2013-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,255888,875697
2013-04-02,SIP,,monthly deposit,,,25000.0,0,contribution,280888,926458
2013-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,305888,978794
2013-05-16,SELL,TEL2-B.ST,Tele2,1385,31.25,43282.0,65,"trailing stop (entry 39.30, P/L -20.5%)",349105,996746
2013-06-03,SIP,,monthly deposit,,,25000.0,0,contribution,374105,998147
2013-06-14,BUY,ALFA.ST,Alfa Laval,1542,106.84,164746.0,247,dip to support,209112,988731
